#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
1.200000e+01   4.880802e+02   9.268912e+01   3.752403e+01   2.699792e+01   1.178681e+01   -2.678491e+00   -8.816390e-02   -6.550283e-01   6.609349e-01
1.300000e+01   4.880070e+02   9.305804e+01   3.752414e+01   2.699790e+01   1.342013e+01   -2.819392e+00   3.187138e-01   -7.380523e-01   8.039277e-01
1.300000e+01   4.879406e+02   9.363330e+01   3.752403e+01   2.699794e+01   1.173936e+01   -2.674111e+00   -7.274457e-02   -5.827716e-01   5.872942e-01
1.300000e+01   4.878956e+02   9.386235e+01   3.752404e+01   2.699804e+01   1.282766e+01   -2.770369e+00   -2.444718e-02   -2.149808e-01   2.163664e-01
1.300000e+01   4.878897e+02   9.407139e+01   3.752428e+01   2.699794e+01   1.289707e+01   -2.776227e+00   8.328942e-01   -5.984420e-01   1.025595e+00
1.300000e+01   4.878327e+02   9.423501e+01   3.752433e+01   2.699801e+01   1.138207e+01   -2.640553e+00   1.013413e+00   -3.183470e-01   1.062239e+00
1.300000e+01   4.878753e+02   9.442836e+01   3.752416e+01   2.699801e+01   1.107070e+01   -2.610437e+00   3.798176e-01   -3.151190e-01   4.935194e-01
1.300000e+01   4.878255e+02   9.473605e+01   3.752409e+01   2.699807e+01   1.188833e+01   -2.687802e+00   1.421864e-01   -1.008706e-01   1.743326e-01
1.300000e+01   4.877920e+02   9.498216e+01   3.752414e+01   2.699808e+01   1.219304e+01   -2.715280e+00   3.227948e-01   -8.283568e-02   3.332540e-01
1.200000e+01   4.874998e+02   9.560923e+01   3.752405e+01   2.699810e+01   9.452656e+00   -2.438885e+00   0.000000e+00   0.000000e+00   0.000000e+00
