#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
7.000000e+01   4.990858e+02   4.291433e+02   3.692576e+01   2.725089e+01   2.013120e+00   -7.596740e-01   1.490445e-01   -1.485990e+00   1.493446e+00
7.100000e+01   4.990468e+02   4.298905e+02   3.692528e+01   2.725113e+01   2.386417e+00   -9.443657e-01   -1.593719e+00   -6.161024e-01   1.708661e+00
7.000000e+01   4.990183e+02   4.301871e+02   3.692562e+01   2.725109e+01   2.081822e+00   -7.961090e-01   -3.451599e-01   -7.516516e-01   8.271127e-01
7.200000e+01   4.989555e+02   4.306225e+02   3.692537e+01   2.725123e+01   1.816989e+00   -6.483806e-01   -1.249847e+00   -2.585988e-01   1.276320e+00
7.300000e+01   4.988725e+02   4.308937e+02   3.692534e+01   2.725111e+01   2.233120e+00   -8.722800e-01   -1.375601e+00   -6.783741e-01   1.533776e+00
7.300000e+01   4.989325e+02   4.310955e+02   3.692545e+01   2.725146e+01   2.088925e+00   -7.998074e-01   -9.811600e-01   5.751894e-01   1.137329e+00
6.800000e+01   4.989457e+02   4.311177e+02   3.692552e+01   2.725128e+01   2.226677e+00   -8.691432e-01   -7.285397e-01   -7.635061e-02   7.325295e-01
7.400000e+01   4.988564e+02   4.313924e+02   3.692555e+01   2.725124e+01   1.833867e+00   -6.584194e-01   -6.250993e-01   -2.049221e-01   6.578314e-01
7.100000e+01   4.987780e+02   4.318018e+02   3.692524e+01   2.725131e+01   2.257013e+00   -8.838351e-01   -1.741487e+00   3.605450e-02   1.741861e+00
7.100000e+01   4.985606e+02   4.321206e+02   3.692572e+01   2.725130e+01   1.631256e+00   -5.313050e-01   0.000000e+00   0.000000e+00   0.000000e+00
