#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
4.400000e+01   3.683124e+01   2.701040e+01   1.475903e+02   -5.422644e+00   3.365216e-02   -3.134668e-02   4.599002e-02
5.100000e+01   3.683129e+01   2.701033e+01   1.423553e+02   -5.383434e+00   2.084819e-01   -2.634213e-01   3.359397e-01
4.200000e+01   3.683124e+01   2.701024e+01   1.400335e+02   -5.365579e+00   3.618717e-02   -6.098549e-01   6.109275e-01
4.600000e+01   3.683118e+01   2.701016e+01   1.278795e+02   -5.267003e+00   -1.732633e-01   -8.963036e-01   9.128967e-01
6.200000e+01   3.683116e+01   2.701026e+01   1.322000e+02   -5.303078e+00   -2.722032e-01   -5.148292e-01   5.823604e-01
5.300000e+01   3.683116e+01   2.701031e+01   1.381990e+02   -5.351262e+00   -2.657237e-01   -3.503420e-01   4.397142e-01
4.500000e+01   3.683116e+01   2.701036e+01   1.349926e+02   -5.325775e+00   -2.579591e-01   -1.707338e-01   3.093427e-01
5.300000e+01   3.683115e+01   2.701026e+01   1.361700e+02   -5.335203e+00   -3.057665e-01   -5.217208e-01   6.047195e-01
5.800000e+01   3.683120e+01   2.701026e+01   1.365480e+02   -5.338213e+00   -1.070689e-01   -5.276867e-01   5.384394e-01
5.100000e+01   3.683123e+01   2.701041e+01   1.497954e+02   -5.438746e+00   0.000000e+00   0.000000e+00   0.000000e+00
