#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
4.900000e+01   3.654405e+01   2.655328e+01   7.606396e+00   -2.202947e+00   5.592824e-02   -5.189250e-01   5.219302e-01
5.500000e+01   3.654392e+01   2.655332e+01   8.174236e+00   -2.281118e+00   -4.020772e-01   -3.815984e-01   5.543315e-01
4.700000e+01   3.654412e+01   2.655333e+01   7.278373e+00   -2.155086e+00   3.261088e-01   -3.319242e-01   4.653178e-01
5.300000e+01   3.654412e+01   2.655329e+01   6.709176e+00   -2.066673e+00   3.326823e-01   -5.002847e-01   6.008014e-01
6.700000e+01   3.654398e+01   2.655336e+01   7.548060e+00   -2.194588e+00   -1.721243e-01   -2.338328e-01   2.903525e-01
5.800000e+01   3.654405e+01   2.655346e+01   7.377944e+00   -2.169838e+00   6.744664e-02   1.309666e-01   1.473137e-01
5.100000e+01   3.654400e+01   2.655335e+01   7.377244e+00   -2.169735e+00   -1.206591e-01   -2.711324e-01   2.967683e-01
5.700000e+01   3.654406e+01   2.655348e+01   6.355902e+00   -2.007943e+00   1.167403e-01   2.048398e-01   2.357703e-01
6.400000e+01   3.654384e+01   2.655342e+01   7.204144e+00   -2.143956e+00   -6.760179e-01   -3.003970e-02   6.766850e-01
5.600000e+01   3.654403e+01   2.655343e+01   7.738824e+00   -2.221687e+00   0.000000e+00   0.000000e+00   0.000000e+00
