#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
3.300000e+01   3.734706e+01   2.761000e+01   1.275408e+00   -2.641231e-01   3.568154e-01   -2.509718e+00   2.534956e+00
3.800000e+01   3.734707e+01   2.761034e+01   1.114054e+00   -1.172656e-01   3.751329e-01   -1.276167e+00   1.330160e+00
4.200000e+01   3.734706e+01   2.761033e+01   1.218781e+00   -2.148138e-01   3.259293e-01   -1.345848e+00   1.384752e+00
3.700000e+01   3.734698e+01   2.761038e+01   1.374300e+00   -3.452037e-01   4.998968e-02   -1.152370e+00   1.153453e+00
4.100000e+01   3.734711e+01   2.761044e+01   1.217398e+00   -2.135812e-01   5.112722e-01   -9.235940e-01   1.055663e+00
3.600000e+01   3.734696e+01   2.761070e+01   1.414881e+00   -3.768002e-01   0.000000e+00   0.000000e+00   0.000000e+00
