#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
1.500000e+01   3.683123e+01   2.701036e+01   1.827021e+02   -5.654359e+00   -1.525549e-02   -2.075349e-01   2.080948e-01
2.200000e+01   3.683126e+01   2.701029e+01   1.799026e+02   -5.637593e+00   1.130157e-01   -4.648292e-01   4.783709e-01
1.500000e+01   3.683122e+01   2.701021e+01   1.773930e+02   -5.622341e+00   -2.346692e-02   -7.252980e-01   7.256776e-01
1.800000e+01   3.683122e+01   2.701016e+01   1.722661e+02   -5.590499e+00   -2.497912e-02   -9.366209e-01   9.369540e-01
2.600000e+01   3.683115e+01   2.701020e+01   1.731154e+02   -5.595839e+00   -2.808734e-01   -7.645618e-01   8.145210e-01
2.100000e+01   3.683116e+01   2.701028e+01   1.772658e+02   -5.621563e+00   -2.517198e-01   -5.061658e-01   5.653023e-01
1.900000e+01   3.683114e+01   2.701030e+01   1.736134e+02   -5.598958e+00   -3.311569e-01   -4.154335e-01   5.312719e-01
1.700000e+01   3.683116e+01   2.701024e+01   1.768975e+02   -5.619304e+00   -2.659260e-01   -6.216817e-01   6.761692e-01
1.800000e+01   3.683118e+01   2.701027e+01   1.780187e+02   -5.626164e+00   -1.921935e-01   -5.102283e-01   5.452259e-01
2.100000e+01   3.683123e+01   2.701042e+01   1.855918e+02   -5.671397e+00   0.000000e+00   0.000000e+00   0.000000e+00
