#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
1.400000e+01   3.737511e+01   2.666927e+01   4.034032e+00   -1.514348e+00   -3.153648e-01   1.911459e-01   3.687706e-01
1.500000e+01   3.737538e+01   2.666934e+01   4.189832e+00   -1.555492e+00   6.752252e-01   4.730154e-01   8.244226e-01
1.500000e+01   3.737530e+01   2.666934e+01   3.390866e+00   -1.325777e+00   3.942949e-01   4.578929e-01   6.042635e-01
1.500000e+01   3.737521e+01   2.666930e+01   3.699475e+00   -1.420350e+00   6.180172e-02   3.130031e-01   3.190461e-01
1.500000e+01   3.737543e+01   2.666926e+01   3.599734e+00   -1.390676e+00   8.549324e-01   1.794337e-01   8.735593e-01
1.500000e+01   3.737548e+01   2.666932e+01   3.150519e+00   -1.245955e+00   1.029993e+00   3.676868e-01   1.093654e+00
1.400000e+01   3.737539e+01   2.666931e+01   3.239507e+00   -1.276197e+00   6.898241e-01   3.415672e-01   7.697567e-01
1.500000e+01   3.737522e+01   2.666924e+01   3.347030e+00   -1.311649e+00   1.005537e-01   8.816892e-02   1.337341e-01
1.500000e+01   3.737528e+01   2.666925e+01   3.551531e+00   -1.376039e+00   2.967775e-01   1.507168e-01   3.328550e-01
1.400000e+01   3.737520e+01   2.666921e+01   3.380123e+00   -1.322331e+00   0.000000e+00   0.000000e+00   0.000000e+00
