id xcentroid ycentroid peak flux mag RA/deg DEC/deg
1 1.5844367856467143 1.566904770842855 5016.0 8.68998214361322 -2.347547210126783 37.342152452968335 26.02676435906498
2 749.4307684522595 1.56679233153656 4931.0 8.621432145806965 -2.338948536185617 37.87751705009434 27.422379656313186
3 272.4138564114317 8.26475412639357 8160.0 5.179021361670717 -1.7856192558400545 37.523967948334345 26.53680578376883
4 472.2686359240545 8.834364702194396 7669.0 3.6280633709056196 -1.399187160547228 37.66601295316397 26.910163985537544
5 642.025347477723 17.006639350513254 13746.0 10.511884668640871 -2.55420146842748 37.77281723301796 27.232603765310337
6 454.68208278020535 18.321592501460902 16589.0 18.688144798980037 -3.1789154760853644 37.636334342786036 26.8838956673522
7 123.90347832498094 26.46558142268772 12079.0 11.665157042726516 -2.667226474697651 37.384868918517995 26.272227248091482
8 523.78075669182 27.148859410258417 6527.0 2.112236591235549 -0.8118564045802551 37.66990026041555 27.018941797387413
9 620.0903140119531 32.88619645247936 8059.0 3.825449319217227 -1.4567061316628354 37.72851149199824 27.20263458476256
10 245.47946894576134 42.626314990239564 6228.0 1.889632647091994 -0.6909434590476229 37.442792644827534 26.510269540589768
11 314.082040750577 60.09938544924551 6999.0 2.7931674502832307 -1.1152424310481572 37.460430189230905 26.650360159014983
12 87.28299475784416 81.57455463938585 5700.0 1.2722781001907344 -0.2614551292583123 37.25938837160472 26.241942004286543
13 487.8955912534491 93.86235138995575 14692.0 12.827664288304923 -2.7703689638043034 37.52404350669226 26.998042214689253
14 295.0218103424437 100.10446875202261 6600.0 2.310904135122551 -0.9094548242658929 37.37472641999921 26.6424156031002
15 307.6679184009164 104.86058380221326 7522.0 3.699475453767032 -1.4203503752458257 37.37521251381281 26.669299813291587
16 253.8337979343563 111.04033476996784 6545.0 2.0354606683476395 -0.7716567870727288 37.325542763073884 26.573103076983926
17 461.9274115370572 111.28745187884745 6852.0 2.839217088770525 -1.1329965007322649 37.47406663251056 26.96161372494678
18 232.80700249633168 115.17810635283972 5949.0 1.4525123108137437 -0.4052995548862466 37.303037060720776 26.53672061720219
19 80.41564911517217 117.01223674689476 5766.0 1.4350384196417445 -0.39215882099392757 37.19064019905737 26.253597568591722
20 362.5211618844586 130.3497827497706 7508.0 4.613146398225243 -1.6599930929115827 37.3685682336177 26.789267205081355
21 325.80153746784083 134.90249128098898 8518.0 4.650266985524528 -1.6686947193278212 37.334081025516966 26.72388564408171
22 556.1291718320604 147.65929547188745 5758.0 1.03668975299173 -0.03912201459095093 37.47598863751025 27.162527446023212
23 559.080324628185 151.99476273319075 6812.0 2.322786985590991 -0.9150234601181166 37.470292046991226 27.17102865536743
24 237.41251776955397 154.3272744193923 5793.0 1.3512919322279202 -0.32687295963772406 37.23581671867658 26.57234954023554
25 278.125814584829 166.89057118909002 6509.0 1.8370960275148052 -0.6603296451600074 37.24233274627472 26.657003357258688
26 83.02053485671668 169.3617386624458 6076.0 1.4689358223793372 -0.417507054834102 37.09821059717342 26.294608363545816
27 731.6563881746997 170.98186494974271 19164.0 20.405635023503894 -3.2743752864172238 37.5596344562617 27.50619796102889
28 308.55982073100523 172.93025313236893 11470.0 10.341283477199303 -2.536436108131131 37.25324072850779 26.717969334234425
29 424.7756551152482 180.0911286726231 35389.0 45.723889922073255 -4.150357926345975 37.32353821937283 26.939793819966756
30 16.885402958646342 181.66495677905797 7369.0 3.5635696222969377 -1.3797131203229642 37.02870498572868 26.1796842545784
31 216.27052466128205 196.00615357902387 36128.0 43.15231664934332 -4.087510289874257 37.145607748371894 26.561675870711756
32 6.043867955637348 201.06443769948135 7272.0 2.8450368956826573 -1.135219757220944 36.986000549863284 26.172848192384773
33 85.04878313141255 203.32060878521003 11897.0 10.050773711769253 -2.5054987379281406 37.03849426214742 26.321843517370763
34 348.02379690472895 204.27725582502777 5808.0 1.284200198114802 -0.27158183144877285 37.22502830819761 26.81326266189212
35 595.0499966222666 223.72063631439536 6593.0 2.3682698994960574 -0.9360779879294743 37.366845829144424 27.28768435367891
36 513.0870458038561 234.59598409290473 5679.0 1.009883270764958 -0.010677944871525801 37.28858142681925 27.142236689363816
37 62.98812061064999 235.79841929918632 27564.0 29.514615110012308 -3.6750928102713414 36.96420103518334 26.303101707343224
38 489.665100486136 236.42835708143187 5675.0 1.2878679518203584 -0.27467834013777026 37.26851368875889 27.0997924722224
39 341.9797027410188 239.5255035598172 9159.0 6.171060412805621 -1.9758994951154065 37.15721069875721 26.82632374841573
40 620.6764853279146 242.70946120403377 5603.0 1.3265066681423328 -0.3067735936363165 37.35098762784002 27.348620588087414
41 641.1180700320969 244.12029122425557 10475.0 6.885593317634372 -2.0948534212037275 37.36307999151431 27.387742490746522
42 280.93103482992814 247.12266886197483 6249.0 1.7716066631545964 -0.6209182625803343 37.09982312174294 26.717642159036732
43 365.2804575025472 264.18384760610707 6029.0 1.3260699557132876 -0.30641608878966886 37.12947535958968 26.886834796079835
44 207.50061365076274 270.1322384380462 7329.0 4.0626465232810345 -1.522022593801108 37.00581021446586 26.596496933886797
45 151.20930290702304 270.6251217551245 13590.0 13.76458187133221 -2.846907558260673 36.964624875260256 26.491787610058342
46 21.97121524498076 274.97333256112483 10192.0 6.689811964177804 -2.0635347772044415 36.864274375296624 26.253608789642417
47 31.06262160102616 275.1410942051854 6321.0 1.8133333418138333 -0.6461941175240065 36.8704805045006 26.270690831092278
48 409.2797703852336 285.2407938998467 21772.0 23.192558916019436 -3.4133716712711824 37.123044604270135 26.983486143315744
