#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
3.010000e+02   4.727715e+02   2.529541e+03   1.573292e+02   2.661067e+01   1.216229e+00   -2.125385e-01   -1.133177e-01   3.361695e-01   3.547546e-01
3.030000e+02   4.732665e+02   2.529748e+03   1.573292e+02   2.661062e+01   1.061649e+00   -6.495236e-02   -1.439087e-01   1.459772e-01   2.049855e-01
3.010000e+02   4.733815e+02   2.529480e+03   1.573292e+02   2.661056e+01   1.032725e+00   -3.496131e-02   -4.470297e-02   -6.591086e-02   7.964042e-02
2.730000e+02   4.730503e+02   2.529476e+03   1.573292e+02   2.661054e+01   1.051682e+00   -5.471108e-02   -9.322369e-02   -1.113235e-01   1.452019e-01
2.940000e+02   4.733012e+02   2.529124e+03   1.573292e+02   2.661059e+01   1.111749e+00   -1.150166e-01   -1.597931e-01   5.824051e-02   1.700758e-01
2.870000e+02   4.733241e+02   2.529143e+03   1.573293e+02   2.661065e+01   1.245847e+00   -2.386621e-01   2.196474e-01   2.711184e-01   3.489272e-01
3.000000e+02   4.737228e+02   2.529201e+03   1.573292e+02   2.661052e+01   1.301387e+00   -2.860163e-01   -9.881022e-04   -1.834527e-01   1.834553e-01
3.390000e+02   4.743459e+02   2.528177e+03   1.573292e+02   2.661058e+01   1.411531e+00   -3.742261e-01   0.000000e+00   0.000000e+00   0.000000e+00
