#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
1.770000e+02   1.932493e+03   1.571661e+03   1.569569e+02   2.581997e+01   1.591666e+01   -3.004630e+00   3.138137e-01   6.297642e-03   3.138768e-01
1.830000e+02   1.932907e+03   1.571478e+03   1.569568e+02   2.582004e+01   2.047347e+01   -3.277979e+00   -2.717520e-02   2.499424e-01   2.514154e-01
1.470000e+02   1.933392e+03   1.571597e+03   1.569568e+02   2.581993e+01   1.257309e+01   -2.748605e+00   1.555318e-01   -1.390466e-01   2.086243e-01
1.550000e+02   1.932435e+03   1.571571e+03   1.569567e+02   2.582008e+01   1.550213e+01   -2.975979e+00   -2.094726e-01   4.002409e-01   4.517428e-01
1.860000e+02   1.933550e+03   1.571955e+03   1.569569e+02   2.582004e+01   1.810862e+01   -3.144713e+00   2.484353e-01   2.620582e-01   3.611019e-01
1.780000e+02   1.933694e+03   1.571689e+03   1.569568e+02   2.582000e+01   1.832207e+01   -3.157436e+00   4.935497e-02   1.242054e-01   1.336522e-01
1.680000e+02   1.933129e+03   1.571865e+03   1.569568e+02   2.582003e+01   1.647488e+01   -3.042055e+00   -7.472651e-02   2.118452e-01   2.246385e-01
1.790000e+02   1.933854e+03   1.571536e+03   1.569568e+02   2.581998e+01   1.879849e+01   -3.185308e+00   1.486502e-01   6.029623e-02   1.604136e-01
1.360000e+02   1.933947e+03   1.571400e+03   1.569568e+02   2.582001e+01   1.257120e+01   -2.748441e+00   3.204865e-02   1.654051e-01   1.684813e-01
1.770000e+02   1.933854e+03   1.571568e+03   1.569568e+02   2.581997e+01   1.711341e+01   -3.083342e+00   1.700222e-01   -7.137413e-03   1.701719e-01
1.730000e+02   1.933816e+03   1.571630e+03   1.569568e+02   2.582000e+01   1.641432e+01   -3.038057e+00   6.326805e-02   1.051034e-01   1.226767e-01
1.840000e+02   1.934427e+03   1.571779e+03   1.569568e+02   2.582002e+01   1.826052e+01   -3.153783e+00   1.127220e-01   1.894221e-01   2.204245e-01
2.070000e+02   1.935641e+03   1.571882e+03   1.569568e+02   2.581997e+01   2.275740e+01   -3.392806e+00   0.000000e+00   0.000000e+00   0.000000e+00
