#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
6.500000e+01   1.562721e+03   7.331011e+02   1.565153e+02   2.594453e+01   2.150696e+00   -8.314473e-01   2.583747e-01   -2.844590e-01   3.842843e-01
6.500000e+01   1.563087e+03   7.330360e+02   1.565154e+02   2.594461e+01   2.375878e+00   -9.395604e-01   5.361557e-01   -1.044856e-02   5.362575e-01
5.500000e+01   1.563571e+03   7.330970e+02   1.565154e+02   2.594457e+01   1.890421e+00   -6.913965e-01   3.808105e-01   -1.569243e-01   4.118760e-01
5.200000e+01   1.562840e+03   7.330993e+02   1.565154e+02   2.594462e+01   1.811856e+00   -6.453089e-01   5.910267e-01   2.863429e-02   5.917200e-01
6.500000e+01   1.563855e+03   7.332811e+02   1.565153e+02   2.594468e+01   2.509266e+00   -9.988665e-01   2.765628e-01   2.298258e-01   3.595926e-01
6.500000e+01   1.563973e+03   7.330770e+02   1.565153e+02   2.594465e+01   2.440659e+00   -9.687679e-01   8.120673e-02   1.254928e-01   1.494756e-01
6.200000e+01   1.563578e+03   7.332118e+02   1.565153e+02   2.594459e+01   1.833588e+00   -6.582542e-01   1.358614e-01   -9.361505e-02   1.649912e-01
6.300000e+01   1.564167e+03   7.328707e+02   1.565153e+02   2.594466e+01   2.262489e+00   -8.864660e-01   2.027004e-01   1.818689e-01   2.723302e-01
5.100000e+01   1.564367e+03   7.324106e+02   1.565152e+02   2.594455e+01   1.369535e+00   -3.414327e-01   -2.367732e-01   -2.317750e-01   3.313325e-01
6.700000e+01   1.564326e+03   7.329423e+02   1.565154e+02   2.594458e+01   2.099359e+00   -8.052170e-01   4.672636e-01   -1.298295e-01   4.849649e-01
6.100000e+01   1.564403e+03   7.329350e+02   1.565153e+02   2.594464e+01   2.188395e+00   -8.503144e-01   3.279952e-01   1.069067e-01   3.449781e-01
6.900000e+01   1.564873e+03   7.330008e+02   1.565154e+02   2.594462e+01   2.833761e+00   -1.130908e+00   4.957135e-01   4.611269e-02   4.978536e-01
7.000000e+01   1.566560e+03   7.328548e+02   1.565153e+02   2.594461e+01   2.701007e+00   -1.078814e+00   0.000000e+00   0.000000e+00   0.000000e+00
