#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
1.640000e+02   2.787170e+03   1.442937e+03   1.569530e+02   2.538743e+01   4.244898e+00   -1.569668e+00   3.361646e-01   1.972709e-01   3.897723e-01
1.700000e+02   2.787745e+03   1.442767e+03   1.569529e+02   2.538742e+01   4.289308e+00   -1.580968e+00   -6.224188e-02   1.614565e-01   1.730383e-01
1.380000e+02   2.787985e+03   1.442994e+03   1.569530e+02   2.538740e+01   3.592925e+00   -1.388620e+00   1.610006e-01   9.586321e-02   1.873791e-01
1.440000e+02   2.787220e+03   1.442951e+03   1.569529e+02   2.538750e+01   3.377366e+00   -1.321445e+00   -1.557634e-01   4.701433e-01   4.952746e-01
1.730000e+02   2.788456e+03   1.443300e+03   1.569530e+02   2.538739e+01   3.846710e+00   -1.462724e+00   2.873619e-01   5.592606e-02   2.927534e-01
1.670000e+02   2.788466e+03   1.443093e+03   1.569529e+02   2.538744e+01   4.011464e+00   -1.508257e+00   4.983191e-02   2.440861e-01   2.491209e-01
1.560000e+02   2.787915e+03   1.443330e+03   1.569529e+02   2.538742e+01   3.506798e+00   -1.362277e+00   -2.084842e-01   1.622330e-01   2.641689e-01
1.670000e+02   2.788787e+03   1.443049e+03   1.569530e+02   2.538735e+01   4.288179e+00   -1.580682e+00   2.412761e-01   -6.619162e-02   2.501909e-01
1.290000e+02   2.788834e+03   1.443030e+03   1.569529e+02   2.538741e+01   3.011286e+00   -1.196880e+00   1.137765e-01   1.556642e-01   1.928119e-01
1.670000e+02   2.788650e+03   1.443285e+03   1.569530e+02   2.538737e+01   3.671767e+00   -1.412188e+00   3.569636e-01   -6.450970e-03   3.570219e-01
1.610000e+02   2.788645e+03   1.443239e+03   1.569530e+02   2.538740e+01   3.453372e+00   -1.345608e+00   1.340651e-01   1.118198e-01   1.745770e-01
1.720000e+02   2.789336e+03   1.443467e+03   1.569529e+02   2.538749e+01   3.988974e+00   -1.502153e+00   5.387647e-02   4.428194e-01   4.460848e-01
1.920000e+02   2.790652e+03   1.444193e+03   1.569529e+02   2.538737e+01   4.788493e+00   -1.700497e+00   0.000000e+00   0.000000e+00   0.000000e+00
