#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
2.610000e+02   1.227951e+03   2.279370e+03   1.572582e+02   2.621863e+01   1.088948e+00   -9.251766e-02   -4.959169e-02   3.441016e-02   6.036054e-02
2.720000e+02   1.228563e+03   2.279205e+03   1.572581e+02   2.621861e+01   1.348966e+00   -3.250026e-01   -4.545312e-01   -1.830043e-02   4.548994e-01
2.380000e+02   1.228001e+03   2.279303e+03   1.572580e+02   2.621863e+01   1.171119e+00   -1.715024e-01   -7.438282e-01   4.805102e-02   7.453786e-01
2.720000e+02   1.229118e+03   2.279666e+03   1.572582e+02   2.621857e+01   1.368583e+00   -3.406780e-01   -8.110817e-02   -1.839658e-01   2.010521e-01
2.720000e+02   1.229140e+03   2.279370e+03   1.572582e+02   2.621857e+01   1.497192e+00   -4.381940e-01   -1.739148e-01   -1.731848e-01   2.454371e-01
2.470000e+02   1.228626e+03   2.279615e+03   1.572582e+02   2.621862e+01   1.341135e+00   -3.186812e-01   -2.719840e-02   1.788158e-02   3.255002e-02
2.640000e+02   1.229224e+03   2.279188e+03   1.572582e+02   2.621855e+01   1.368979e+00   -3.409920e-01   -5.845255e-02   -2.556776e-01   2.622741e-01
2.600000e+02   1.229150e+03   2.279283e+03   1.572583e+02   2.621862e+01   1.378386e+00   -3.484270e-01   2.298992e-01   -5.811098e-03   2.299727e-01
2.520000e+02   1.229250e+03   2.279193e+03   1.572582e+02   2.621848e+01   1.612582e+00   -5.188045e-01   -2.309805e-01   -5.162691e-01   5.655845e-01
2.680000e+02   1.229689e+03   2.279447e+03   1.572583e+02   2.621855e+01   1.500952e+00   -4.409171e-01   8.029531e-02   -2.515419e-01   2.640467e-01
3.060000e+02   1.230317e+03   2.278956e+03   1.572583e+02   2.621862e+01   1.881681e+00   -6.863649e-01   0.000000e+00   0.000000e+00   0.000000e+00
