#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
1.360000e+02   8.077736e+02   1.245548e+03   1.567164e+02   2.635451e+01   4.792865e+01   -4.201488e+00   1.665237e-01   -1.257448e-01   2.086669e-01
1.370000e+02   8.083315e+02   1.245340e+03   1.567164e+02   2.635449e+01   5.206087e+01   -4.291279e+00   1.802963e-01   -1.972356e-01   2.672240e-01
1.130000e+02   8.086910e+02   1.245435e+03   1.567164e+02   2.635452e+01   3.667068e+01   -3.910797e+00   2.558261e-01   -7.393697e-02   2.662963e-01
1.160000e+02   8.080076e+02   1.245466e+03   1.567164e+02   2.635449e+01   4.429958e+01   -4.115999e+00   2.865280e-01   -1.820494e-01   3.394705e-01
1.420000e+02   8.089856e+02   1.245605e+03   1.567163e+02   2.635455e+01   5.361663e+01   -4.323249e+00   4.175943e-02   3.533806e-02   5.470493e-02
1.350000e+02   8.090652e+02   1.245363e+03   1.567163e+02   2.635452e+01   5.242673e+01   -4.298882e+00   -6.728142e-02   -7.509620e-02   1.008277e-01
1.280000e+02   8.086222e+02   1.245505e+03   1.567164e+02   2.635453e+01   4.211444e+01   -4.061078e+00   1.591181e-01   -3.530043e-02   1.629867e-01
1.340000e+02   8.091763e+02   1.245042e+03   1.567163e+02   2.635454e+01   5.387183e+01   -4.328404e+00   -6.589702e-02   -1.073430e-03   6.590576e-02
1.070000e+02   8.093189e+02   1.244859e+03   1.567164e+02   2.635450e+01   3.413949e+01   -3.833143e+00   9.450640e-02   -1.367569e-01   1.662345e-01
1.350000e+02   8.092419e+02   1.245032e+03   1.567164e+02   2.635454e+01   5.066122e+01   -4.261689e+00   2.231058e-01   1.997869e-03   2.231147e-01
1.320000e+02   8.092800e+02   1.245101e+03   1.567164e+02   2.635456e+01   5.233465e+01   -4.296973e+00   1.086100e-01   7.244726e-02   1.305555e-01
1.390000e+02   8.097707e+02   1.245096e+03   1.567164e+02   2.635447e+01   5.631245e+01   -4.376511e+00   3.319022e-01   -2.702464e-01   4.280096e-01
1.540000e+02   8.110820e+02   1.244430e+03   1.567163e+02   2.635454e+01   6.184481e+01   -4.478258e+00   0.000000e+00   0.000000e+00   0.000000e+00
