#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
2.710000e+02   3.238348e+03   2.372781e+03   1.574455e+02   2.522891e+01   2.467816e+00   -9.807818e-01   -1.247576e-01   2.864227e-01   3.124139e-01
2.830000e+02   3.238966e+03   2.372881e+03   1.574454e+02   2.522892e+01   2.664387e+00   -1.063993e+00   -5.067188e-01   3.389969e-01   6.096580e-01
2.310000e+02   3.239186e+03   2.373068e+03   1.574455e+02   2.522883e+01   1.950336e+00   -7.252734e-01   -9.983224e-02   6.813599e-03   1.000645e-01
2.480000e+02   3.238354e+03   2.373071e+03   1.574453e+02   2.522896e+01   2.186329e+00   -8.492888e-01   -8.737430e-01   4.745161e-01   9.942798e-01
2.850000e+02   3.239439e+03   2.373368e+03   1.574455e+02   2.522885e+01   2.448970e+00   -9.724587e-01   -1.292143e-01   7.949058e-02   1.517073e-01
2.830000e+02   3.239383e+03   2.373245e+03   1.574455e+02   2.522895e+01   2.866877e+00   -1.143523e+00   -1.266288e-01   4.407066e-01   4.585381e-01
2.560000e+02   3.239111e+03   2.373624e+03   1.574455e+02   2.522880e+01   2.213967e+00   -8.629277e-01   -3.081957e-01   -1.200141e-01   3.307385e-01
2.760000e+02   3.239757e+03   2.373276e+03   1.574456e+02   2.522878e+01   2.413244e+00   -9.565030e-01   8.259494e-02   -1.642605e-01   1.838571e-01
2.080000e+02   3.239633e+03   2.373418e+03   1.574455e+02   2.522902e+01   1.526690e+00   -4.593769e-01   -6.487462e-02   6.820370e-01   6.851154e-01
2.710000e+02   3.239440e+03   2.373450e+03   1.574455e+02   2.522887e+01   2.317314e+00   -9.124622e-01   -1.146956e-01   1.616566e-01   1.982119e-01
2.630000e+02   3.239422e+03   2.373574e+03   1.574455e+02   2.522882e+01   2.233504e+00   -8.724670e-01   -1.038918e-01   -3.631930e-02   1.100573e-01
2.800000e+02   3.240118e+03   2.373804e+03   1.574454e+02   2.522903e+01   2.883634e+00   -1.149850e+00   -5.324657e-01   7.220230e-01   8.971270e-01
3.170000e+02   3.240982e+03   2.374912e+03   1.574456e+02   2.522883e+01   3.141142e+00   -1.242719e+00   0.000000e+00   0.000000e+00   0.000000e+00
