#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
8.800000e+01   1.986540e+03   8.612211e+02   1.566085e+02   2.574347e+01   1.942251e+02   -5.720763e+00   1.427235e-01   3.842160e-02   1.478047e-01
8.900000e+01   1.986984e+03   8.611582e+02   1.566086e+02   2.574352e+01   2.211551e+02   -5.861742e+00   3.048471e-01   1.936925e-01   3.611766e-01
7.500000e+01   1.987428e+03   8.613243e+02   1.566086e+02   2.574347e+01   1.536939e+02   -5.466641e+00   3.411353e-01   3.318482e-02   3.427456e-01
7.400000e+01   1.986602e+03   8.614135e+02   1.566087e+02   2.574359e+01   1.684299e+02   -5.566048e+00   5.943184e-01   4.745759e-01   7.605502e-01
9.100000e+01   1.987770e+03   8.616022e+02   1.566086e+02   2.574356e+01   2.066232e+02   -5.787948e+00   4.204041e-01   3.383478e-01   5.396470e-01
8.900000e+01   1.987874e+03   8.614588e+02   1.566086e+02   2.574355e+01   2.021238e+02   -5.764044e+00   3.069035e-01   3.091255e-01   4.356011e-01
8.700000e+01   1.987428e+03   8.615533e+02   1.566085e+02   2.574349e+01   1.766314e+02   -5.617670e+00   1.322503e-01   1.050214e-01   1.688776e-01
8.600000e+01   1.988164e+03   8.612023e+02   1.566086e+02   2.574350e+01   2.183819e+02   -5.848042e+00   2.818295e-01   1.459382e-01   3.173733e-01
7.200000e+01   1.988242e+03   8.610075e+02   1.566085e+02   2.574348e+01   1.465861e+02   -5.415232e+00   1.529107e-01   7.001469e-02   1.681777e-01
8.900000e+01   1.988097e+03   8.612566e+02   1.566086e+02   2.574351e+01   2.121519e+02   -5.816618e+00   3.356722e-01   1.586388e-01   3.712710e-01
8.500000e+01   1.988173e+03   8.613441e+02   1.566086e+02   2.574357e+01   2.109099e+02   -5.810242e+00   3.794322e-01   3.841153e-01   5.399198e-01
9.100000e+01   1.988740e+03   8.615195e+02   1.566087e+02   2.574358e+01   2.066403e+02   -5.788038e+00   5.852588e-01   4.055027e-01   7.120115e-01
9.800000e+01   1.990477e+03   8.615529e+02   1.566085e+02   2.574346e+01   2.228385e+02   -5.869976e+00   0.000000e+00   0.000000e+00   0.000000e+00
