#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
4.700000e+01   3.277886e+01   4.725480e+02   1.562789e+02   2.668447e+01   4.243669e+00   -1.569354e+00   4.357105e-03   -3.765554e-02   3.790678e-02
4.400000e+01   3.310250e+01   4.722339e+02   1.562790e+02   2.668453e+01   4.204126e+00   -1.559189e+00   2.471915e-01   1.947219e-01   3.146749e-01
4.200000e+01   3.369277e+01   4.724715e+02   1.562790e+02   2.668455e+01   2.824950e+00   -1.127527e+00   4.436851e-01   2.642092e-01   5.163941e-01
3.500000e+01   3.287495e+01   4.724372e+02   1.562791e+02   2.668457e+01   3.529536e+00   -1.369294e+00   7.756334e-01   3.332961e-01   8.442118e-01
4.500000e+01   3.411515e+01   4.725637e+02   1.562789e+02   2.668456e+01   4.190625e+00   -1.555697e+00   1.813421e-01   3.150075e-01   3.634758e-01
4.800000e+01   3.410662e+01   4.721797e+02   1.562788e+02   2.668455e+01   4.178330e+00   -1.552507e+00   -2.507421e-01   2.633330e-01   3.636150e-01
4.500000e+01   3.361257e+01   4.722816e+02   1.562790e+02   2.668461e+01   3.966971e+00   -1.496147e+00   2.190824e-01   4.678843e-01   5.166361e-01
4.300000e+01   3.439041e+01   4.720326e+02   1.562790e+02   2.668455e+01   4.436628e+00   -1.617633e+00   2.821488e-01   2.610555e-01   3.843929e-01
3.800000e+01   3.437265e+01   4.714508e+02   1.562789e+02   2.668449e+01   2.568580e+00   -1.024233e+00   1.591997e-02   6.170390e-02   6.372454e-02
4.800000e+01   3.447545e+01   4.717971e+02   1.562790e+02   2.668456e+01   3.648836e+00   -1.405386e+00   4.158837e-01   2.819664e-01   5.024583e-01
4.400000e+01   3.455748e+01   4.718427e+02   1.562790e+02   2.668464e+01   4.398226e+00   -1.608194e+00   3.012755e-01   5.695686e-01   6.443410e-01
4.900000e+01   3.513291e+01   4.716490e+02   1.562791e+02   2.668433e+01   4.057054e+00   -1.520527e+00   6.491087e-01   -5.224834e-01   8.332653e-01
5.100000e+01   3.687982e+01   4.704891e+02   1.562789e+02   2.668448e+01   4.980311e+00   -1.743141e+00   0.000000e+00   0.000000e+00   0.000000e+00
