#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
2.620000e+02   2.233701e+01   2.283736e+03   1.571759e+02   2.681638e+01   1.470777e+00   -4.188672e-01   2.952111e-01   2.384890e-01   3.795084e-01
2.730000e+02   2.310097e+01   2.283642e+03   1.571759e+02   2.681629e+01   1.433882e+00   -3.912837e-01   2.972366e-01   -9.031929e-02   3.106560e-01
2.220000e+02   2.320561e+01   2.283883e+03   1.571760e+02   2.681644e+01   1.306379e+00   -2.901732e-01   9.332087e-01   4.547432e-01   1.038109e+00
2.390000e+02   2.265273e+01   2.283334e+03   1.571756e+02   2.681622e+01   1.441839e+00   -3.972920e-01   -5.634304e-01   -3.237594e-01   6.498261e-01
2.730000e+02   2.350335e+01   2.283698e+03   1.571758e+02   2.681632e+01   1.537944e+00   -4.673513e-01   -6.355462e-02   2.912465e-02   6.991019e-02
2.730000e+02   2.357868e+01   2.283425e+03   1.571758e+02   2.681627e+01   1.411479e+00   -3.741860e-01   2.299743e-02   -1.501332e-01   1.518844e-01
2.480000e+02   2.320456e+01   2.283504e+03   1.571759e+02   2.681630e+01   1.272218e+00   -2.614039e-01   2.783291e-01   -3.529154e-02   2.805576e-01
2.650000e+02   2.367960e+01   2.282992e+03   1.571758e+02   2.681623e+01   1.704726e+00   -5.791363e-01   -9.243382e-02   -3.053135e-01   3.189989e-01
2.610000e+02   2.353096e+01   2.282900e+03   1.571758e+02   2.681639e+01   1.606346e+00   -5.145981e-01   1.790639e-01   2.590229e-01   3.148917e-01
2.530000e+02   2.377055e+01   2.282981e+03   1.571758e+02   2.681617e+01   1.984363e+00   -7.440526e-01   -1.957475e-02   -5.108374e-01   5.112123e-01
2.690000e+02   2.415311e+01   2.283042e+03   1.571759e+02   2.681610e+01   1.742046e+00   -6.026492e-01   3.783252e-01   -7.556354e-01   8.450531e-01
3.070000e+02   2.465206e+01   2.281608e+03   1.571758e+02   2.681631e+01   1.946375e+00   -7.230662e-01   0.000000e+00   0.000000e+00   0.000000e+00
