#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
2.600000e+01   1.482471e+03   3.409167e+02   1.563153e+02   2.595686e+01   1.510781e+00   -4.480040e-01   3.804404e-01   -2.204265e-01   4.396848e-01
2.300000e+01   1.482881e+03   3.406643e+02   1.563154e+02   2.595689e+01   1.343107e+00   -3.202768e-01   5.132064e-01   -1.117327e-01   5.252285e-01
2.100000e+01   1.483412e+03   3.408002e+02   1.563153e+02   2.595686e+01   1.048516e+00   -5.143788e-02   3.879439e-01   -2.209661e-01   4.464599e-01
2.500000e+01   1.483704e+03   3.411326e+02   1.563154e+02   2.595701e+01   1.530348e+00   -4.619754e-01   5.921161e-01   3.162255e-01   6.712675e-01
2.600000e+01   1.483968e+03   3.407344e+02   1.563152e+02   2.595689e+01   1.465263e+00   -4.147889e-01   3.084325e-02   -1.036355e-01   1.081278e-01
2.600000e+01   1.483530e+03   3.410494e+02   1.563153e+02   2.595686e+01   1.038598e+00   -4.111869e-02   4.658905e-01   -2.139800e-01   5.126806e-01
2.500000e+01   1.483925e+03   3.406743e+02   1.563153e+02   2.595706e+01   1.415757e+00   -3.774714e-01   3.879577e-01   5.030418e-01   6.352655e-01
2.600000e+01   1.484095e+03   3.404789e+02   1.563153e+02   2.595695e+01   1.330579e+00   -3.101020e-01   2.146392e-01   1.006071e-01   2.370480e-01
2.500000e+01   1.484330e+03   3.406708e+02   1.563154e+02   2.595699e+01   1.431226e+00   -3.892703e-01   5.059813e-01   2.711548e-01   5.740575e-01
2.800000e+01   1.484867e+03   3.407570e+02   1.563154e+02   2.595691e+01   1.560837e+00   -4.833936e-01   8.348327e-01   -3.760145e-02   8.356791e-01
3.000000e+01   1.486741e+03   3.404708e+02   1.563152e+02   2.595692e+01   1.719348e+00   -5.884094e-01   0.000000e+00   0.000000e+00   0.000000e+00
