#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
2.070000e+02   2.890064e+03   1.830094e+03   1.571521e+02   2.536353e+01   1.360156e+00   -3.339717e-01   1.737577e-01   3.873778e-01   4.245625e-01
2.160000e+02   2.890479e+03   1.829846e+03   1.571519e+02   2.536360e+01   1.274899e+00   -2.636898e-01   -5.854838e-01   6.561444e-01   8.793843e-01
1.730000e+02   2.890809e+03   1.830104e+03   1.571520e+02   2.536351e+01   1.083693e+00   -8.726584e-02   -1.707367e-01   3.314019e-01   3.727978e-01
1.850000e+02   2.890061e+03   1.830388e+03   1.571520e+02   2.536362e+01   1.174991e+00   -1.750865e-01   -1.124334e-01   7.268351e-01   7.354798e-01
2.190000e+02   2.891436e+03   1.830866e+03   1.571523e+02   2.536342e+01   1.376563e+00   -3.469900e-01   7.686851e-01   5.878240e-03   7.687076e-01
2.120000e+02   2.891084e+03   1.830392e+03   1.571521e+02   2.536364e+01   1.430543e+00   -3.887520e-01   1.660800e-02   7.794525e-01   7.796294e-01
1.970000e+02   2.890816e+03   1.830707e+03   1.571520e+02   2.536348e+01   1.045623e+00   -4.843757e-02   -1.086891e-01   2.206055e-01   2.459270e-01
2.080000e+02   2.891466e+03   1.830646e+03   1.571522e+02   2.536345e+01   1.082411e+00   -8.598061e-02   4.037208e-01   1.025846e-01   4.165502e-01
2.000000e+02   2.891484e+03   1.830706e+03   1.571522e+02   2.536343e+01   1.236014e+00   -2.300583e-01   3.417026e-01   4.365168e-02   3.444795e-01
2.150000e+02   2.892197e+03   1.831013e+03   1.571521e+02   2.536356e+01   1.628579e+00   -5.295223e-01   2.921861e-01   4.971004e-01   5.766121e-01
2.420000e+02   2.893265e+03   1.831580e+03   1.571521e+02   2.536342e+01   1.645836e+00   -5.409666e-01   0.000000e+00   0.000000e+00   0.000000e+00
