#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
2.830000e+02   3.344175e+03   2.487526e+03   1.575098e+02   2.518450e+01   3.400710e+00   -1.328924e+00   -1.014712e-01   7.681912e-01   7.748640e-01
2.960000e+02   3.344794e+03   2.487587e+03   1.575097e+02   2.518451e+01   3.551241e+00   -1.375950e+00   -6.213026e-01   8.200244e-01   1.028813e+00
2.430000e+02   3.345086e+03   2.487707e+03   1.575098e+02   2.518436e+01   3.140726e+00   -1.242575e+00   -2.871334e-01   2.964405e-01   4.127016e-01
2.600000e+02   3.344330e+03   2.487829e+03   1.575096e+02   2.518447e+01   2.999268e+00   -1.192538e+00   -8.959814e-01   6.648156e-01   1.115689e+00
2.980000e+02   3.345323e+03   2.488083e+03   1.575098e+02   2.518439e+01   4.134840e+00   -1.541147e+00   -1.940182e-01   3.879064e-01   4.337217e-01
2.960000e+02   3.345394e+03   2.487870e+03   1.575098e+02   2.518442e+01   3.812545e+00   -1.453038e+00   -3.119762e-01   5.091221e-01   5.971051e-01
2.680000e+02   3.344933e+03   2.488280e+03   1.575097e+02   2.518436e+01   2.806921e+00   -1.120576e+00   -5.296417e-01   2.837747e-01   6.008730e-01
2.890000e+02   3.345660e+03   2.487726e+03   1.575097e+02   2.518429e+01   3.450529e+00   -1.344714e+00   -4.662557e-01   2.539297e-02   4.669467e-01
2.830000e+02   3.345341e+03   2.488112e+03   1.575097e+02   2.518439e+01   3.207676e+00   -1.265476e+00   -3.185742e-01   3.926791e-01   5.056544e-01
2.760000e+02   3.345231e+03   2.488278e+03   1.575098e+02   2.518437e+01   3.642257e+00   -1.403426e+00   -2.623634e-01   3.234182e-01   4.164540e-01
2.930000e+02   3.345987e+03   2.488429e+03   1.575096e+02   2.518457e+01   4.088838e+00   -1.529000e+00   -8.784748e-01   1.035043e+00   1.357583e+00
3.320000e+02   3.346962e+03   2.489748e+03   1.575098e+02   2.518428e+01   4.442929e+00   -1.619173e+00   0.000000e+00   0.000000e+00   0.000000e+00
