#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
1.070000e+02   1.777949e+03   1.018683e+03   1.566720e+02   2.585786e+01   1.517407e+00   -4.527552e-01   2.016600e-01   2.555871e-01   3.255634e-01
1.050000e+02   1.778478e+03   1.018560e+03   1.566720e+02   2.585786e+01   1.300424e+00   -2.852125e-01   2.566651e-01   2.546810e-01   3.615790e-01
8.800000e+01   1.778823e+03   1.018550e+03   1.566719e+02   2.585785e+01   1.002882e+00   -3.125107e-03   1.256258e-02   2.334643e-01   2.338020e-01
9.000000e+01   1.777899e+03   1.018730e+03   1.566720e+02   2.585801e+01   1.219172e+00   -2.151626e-01   3.286679e-01   8.113494e-01   8.753916e-01
1.080000e+02   1.779225e+03   1.018831e+03   1.566719e+02   2.585789e+01   1.503971e+00   -4.430986e-01   8.707267e-02   3.558077e-01   3.663069e-01
1.050000e+02   1.779341e+03   1.018711e+03   1.566719e+02   2.585787e+01   1.402828e+00   -3.675107e-01   6.563764e-02   2.935248e-01   3.007742e-01
1.000000e+02   1.778808e+03   1.018936e+03   1.566719e+02   2.585788e+01   1.302497e+00   -2.869422e-01   1.489775e-01   3.260489e-01   3.584720e-01
1.010000e+02   1.779569e+03   1.018535e+03   1.566720e+02   2.585785e+01   1.383482e+00   -3.524336e-01   1.971666e-01   2.297975e-01   3.027897e-01
1.050000e+02   1.779643e+03   1.018543e+03   1.566720e+02   2.585780e+01   1.352069e+00   -3.274971e-01   2.578682e-01   2.552539e-02   2.591284e-01
1.000000e+02   1.779683e+03   1.018762e+03   1.566720e+02   2.585786e+01   1.282045e+00   -2.697581e-01   4.966209e-01   2.720018e-01   5.662308e-01
1.080000e+02   1.780216e+03   1.018808e+03   1.566720e+02   2.585786e+01   1.331405e+00   -3.107752e-01   5.092194e-01   2.639244e-01   5.735508e-01
1.160000e+02   1.781811e+03   1.018715e+03   1.566719e+02   2.585779e+01   1.886784e+00   -6.893052e-01   0.000000e+00   0.000000e+00   0.000000e+00
