#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
2.510000e+02   1.958594e+03   2.196452e+03   1.572684e+02   2.585076e+01   1.692514e+01   -3.071331e+00   1.830743e-01   4.892721e-02   1.894996e-01
2.610000e+02   1.959040e+03   2.196329e+03   1.572682e+02   2.585083e+01   2.120438e+01   -3.316064e+00   -3.055470e-01   3.099862e-01   4.352590e-01
2.130000e+02   1.959375e+03   2.196434e+03   1.572683e+02   2.585075e+01   1.365109e+01   -2.837918e+00   4.888950e-03   4.417832e-02   4.444802e-02
2.280000e+02   1.958462e+03   2.196516e+03   1.572682e+02   2.585087e+01   1.466127e+01   -2.915429e+00   -4.967405e-01   4.523155e-01   6.718187e-01
2.620000e+02   1.959656e+03   2.196798e+03   1.572683e+02   2.585075e+01   1.907292e+01   -3.201043e+00   6.783239e-02   1.400017e-02   6.926210e-02
2.620000e+02   1.959641e+03   2.196531e+03   1.572683e+02   2.585079e+01   1.699626e+01   -3.075884e+00   -7.192717e-02   1.587440e-01   1.742790e-01
2.390000e+02   1.959153e+03   2.196759e+03   1.572683e+02   2.585079e+01   1.599032e+01   -3.009643e+00   -1.647953e-01   1.619344e-01   2.310417e-01
2.540000e+02   1.959865e+03   2.196456e+03   1.572684e+02   2.585070e+01   1.951136e+01   -3.225719e+00   1.445096e-01   -1.412410e-01   2.020694e-01
1.930000e+02   1.959919e+03   2.196322e+03   1.572683e+02   2.585080e+01   1.272142e+01   -2.761339e+00   -8.424384e-02   2.084560e-01   2.248354e-01
2.510000e+02   1.959746e+03   2.196563e+03   1.572684e+02   2.585076e+01   1.659784e+01   -3.050129e+00   2.421177e-01   4.893438e-02   2.470133e-01
2.420000e+02   1.959731e+03   2.196491e+03   1.572683e+02   2.585069e+01   1.794682e+01   -3.134969e+00   -1.607969e-01   -1.828792e-01   2.435168e-01
2.580000e+02   1.960271e+03   2.196732e+03   1.572683e+02   2.585080e+01   2.033301e+01   -3.270504e+00   -1.007165e-01   2.165851e-01   2.388575e-01
2.940000e+02   1.961119e+03   2.196818e+03   1.572683e+02   2.585074e+01   2.400311e+01   -3.450669e+00   0.000000e+00   0.000000e+00   0.000000e+00
