#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
2.940000e+02   1.785983e+03   2.533377e+03   1.574233e+02   2.595987e+01   2.282525e+00   -8.960389e-01   9.679873e-01   -3.744891e+00   3.867972e+00
3.030000e+02   1.785956e+03   2.533400e+03   1.574231e+02   2.596019e+01   2.548487e+00   -1.015706e+00   5.174157e-01   -2.575198e+00   2.626664e+00
2.490000e+02   1.786012e+03   2.533447e+03   1.574232e+02   2.596024e+01   3.252506e+00   -1.280545e+00   7.668124e-01   -2.395993e+00   2.515707e+00
2.660000e+02   1.786021e+03   2.533405e+03   1.574230e+02   2.595987e+01   3.346489e+00   -1.311473e+00   1.031534e-01   -3.742629e+00   3.744050e+00
3.050000e+02   1.785981e+03   2.533396e+03   1.574230e+02   2.596032e+01   3.386740e+00   -1.324455e+00   -3.434375e-02   -2.108563e+00   2.108843e+00
3.030000e+02   1.785968e+03   2.533416e+03   1.574231e+02   2.596038e+01   3.302294e+00   -1.297039e+00   4.115309e-01   -1.910356e+00   1.954180e+00
2.750000e+02   1.785959e+03   2.533441e+03   1.574230e+02   2.596014e+01   2.336409e+00   -9.213723e-01   9.303125e-02   -2.757921e+00   2.759490e+00
2.960000e+02   1.785978e+03   2.533431e+03   1.574232e+02   2.596039e+01   3.005969e+00   -1.194961e+00   7.491425e-01   -1.879615e+00   2.023405e+00
2.230000e+02   1.786045e+03   2.533368e+03   1.574232e+02   2.596051e+01   2.744477e+00   -1.096149e+00   6.427603e-01   -1.449313e+00   1.585449e+00
2.890000e+02   1.785942e+03   2.533352e+03   1.574232e+02   2.596040e+01   2.679529e+00   -1.070146e+00   5.705381e-01   -1.834263e+00   1.920946e+00
2.830000e+02   1.786001e+03   2.533380e+03   1.574231e+02   2.596026e+01   3.273631e+00   -1.287574e+00   3.185239e-01   -2.326921e+00   2.348620e+00
3.020000e+02   1.786050e+03   2.533309e+03   1.574229e+02   2.596060e+01   3.161536e+00   -1.249745e+00   -3.029696e-01   -1.127395e+00   1.167394e+00
3.410000e+02   1.785987e+03   2.533412e+03   1.574230e+02   2.596091e+01   3.189652e+00   -1.259358e+00   0.000000e+00   0.000000e+00   0.000000e+00
