#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
7.800000e+01   3.696127e+01   2.771364e+01   1.154488e+00   -1.559732e-01   -4.684464e-01   2.825867e-01   5.470807e-01
7.700000e+01   3.696115e+01   2.771354e+01   1.077191e+00   -8.073214e-02   -8.997849e-01   -6.620827e-02   9.022175e-01
7.800000e+01   3.696124e+01   2.771348e+01   1.255309e+00   -2.468762e-01   -5.630885e-01   -3.103702e-01   6.429606e-01
8.000000e+01   3.696116e+01   2.771340e+01   1.105810e+00   -1.092012e-01   -8.421325e-01   -5.867346e-01   1.026374e+00
7.600000e+01   3.696107e+01   2.771355e+01   1.416661e+00   -3.781651e-01   -1.179084e+00   -3.156664e-02   1.179507e+00
7.900000e+01   3.696119e+01   2.771331e+01   1.206387e+00   -2.037169e-01   -7.319565e-01   -8.997027e-01   1.159838e+00
7.800000e+01   3.696140e+01   2.771356e+01   1.024787e+00   -2.658407e-02   0.000000e+00   0.000000e+00   0.000000e+00
