#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
8.300000e+01   3.636613e+01   2.643217e+01   1.903489e+01   -3.198876e+00   8.064059e-01   1.006376e+00   1.289606e+00
8.100000e+01   3.636596e+01   2.643191e+01   1.533526e+01   -2.964228e+00   2.195286e-01   9.319218e-02   2.384902e-01
8.500000e+01   3.636591e+01   2.643182e+01   1.699209e+01   -3.075617e+00   3.326187e-02   -2.358511e-01   2.381850e-01
8.100000e+01   3.636588e+01   2.643172e+01   1.707681e+01   -3.081017e+00   -8.783567e-02   -6.190223e-01   6.252230e-01
8.300000e+01   3.636607e+01   2.643211e+01   1.604119e+01   -3.013091e+00   5.989376e-01   8.174450e-01   1.013382e+00
8.100000e+01   3.636601e+01   2.643211e+01   1.559713e+01   -2.982612e+00   4.059285e-01   8.050429e-01   9.015942e-01
8.300000e+01   3.636578e+01   2.643209e+01   1.640573e+01   -3.037489e+00   -4.213151e-01   7.198230e-01   8.340573e-01
8.300000e+01   3.636590e+01   2.643189e+01   1.778279e+01   -3.125000e+00   0.000000e+00   0.000000e+00   0.000000e+00
