#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
1.100000e+01   3.751665e+01   2.699810e+01   1.342013e+01   -2.819392e+00   -1.231479e-02   -5.831468e-01   5.832768e-01
1.100000e+01   3.751662e+01   2.699818e+01   1.173936e+01   -2.674111e+00   -1.216900e-01   -2.938652e-01   3.180647e-01
1.100000e+01   3.751655e+01   2.699824e+01   1.282766e+01   -2.770369e+00   -3.986921e-01   -7.207596e-02   4.051547e-01
1.100000e+01   3.751681e+01   2.699815e+01   1.289707e+01   -2.776227e+00   5.560506e-01   -4.161658e-01   6.945403e-01
1.100000e+01   3.751689e+01   2.699815e+01   1.138207e+01   -2.640553e+00   8.445151e-01   -4.178152e-01   9.422183e-01
1.100000e+01   3.751669e+01   2.699819e+01   1.107070e+01   -2.610437e+00   1.208113e-01   -2.631161e-01   2.895262e-01
1.100000e+01   3.751660e+01   2.699826e+01   1.188833e+01   -2.687802e+00   -1.925738e-01   -2.985592e-02   1.948744e-01
1.100000e+01   3.751666e+01   2.699826e+01   1.219304e+01   -2.715280e+00   0.000000e+00   0.000000e+00   0.000000e+00
