id xcentroid ycentroid peak flux mag RA DEC
1 1.5823247905215263 1.5544614613213275 5044.0 8.743222538988116 -2.3541788312862515 37.34278970294416 26.02644179193306
2 749.4536132903355 1.6065924590524938 4930.0 8.55490788582491 -2.33053834419212 37.87812702502893 27.422209849862348
3 272.4577754160995 8.72620484333766 8484.0 5.344991359033404 -1.8198675186107551 37.52380002115321 26.53692366280973
4 472.3369691095181 9.082743581687698 7659.0 3.751536976216708 -1.435523078343401 37.6662592759121 26.910199119719472
5 642.046940672261 17.346051999304724 11884.0 9.049931362148484 -2.3916132134403 37.77287462117928 27.23263264549599
6 454.6959828487726 18.800218572680535 18967.0 20.698056658256313 -3.2898239285921393 37.63612273595592 26.88398915116026
7 123.86902112336921 26.856965789064205 14873.0 12.968174429450698 -2.7821971084796266 37.38475562218079 26.27214138341485
8 523.8220372577956 27.546704247663136 6113.0 2.0840616694580776 -0.7972764150584937 37.669855520991646 27.019039404797155
9 620.0893154853165 33.15234675798795 7882.0 3.627832668804599 -1.3991181183166599 37.72867823121842 27.202572867618247
10 245.61399433689354 43.08609935184378 6216.0 1.9700725696026407 -0.7362055603246691 37.442679951369826 26.510561996254566
11 314.13116533658405 60.64144748515909 6550.0 2.297081989360571 -0.9029412416786803 37.460107089247714 26.65056115756865
12 87.2957001772049 82.03826386554962 5988.0 1.2941813222267269 -0.2799878193591113 37.25915870647399 26.242005372688563
13 487.889661734552 94.07138802065558 14415.0 12.897066554476954 -2.7762273524775205 37.52428165708815 26.997935697669718
14 294.99903396236317 100.58918592947202 6466.0 2.026491112051427 -0.7668617582950871 37.37444124640199 26.642451673720895
15 307.700477893297 105.08633295303517 7357.0 3.5997340667293534 -1.3906760452390698 37.375432827895956 26.66926271066765
16 253.78831318466408 111.24954523626224 6225.0 1.7485478208145344 -0.606693785682182 37.3257315164953 26.572905498299342
17 461.9394103329086 111.7096790443486 7207.0 3.206802123262543 -1.2651804061927117 37.473926327718544 26.96169015037326
18 232.89350362066003 115.79387986202273 5895.0 1.2747119879609263 -0.26353017531920453 37.30258517272371 26.537049349774428
19 80.1263237461104 117.36584627003316 5818.0 1.3045340262047238 -0.2886385282537464 37.19038098607458 26.253030006177855
20 692.8454499769574 116.7746186375712 5725.0 1.1888732993003284 -0.187838933546933 37.63011647174629 27.396122784772064
21 165.88919547929095 122.51270894533648 5704.0 1.063201777460317 -0.06653923497157008 37.242509688630605 26.416642448341936
22 362.51651399237227 130.80846628100954 8046.0 5.08345712898639 -1.765397913283768 37.368337790179815 26.789333509876595
23 325.8327994041773 135.18539005524391 8100.0 4.519068174696462 -1.637622232876104 37.334189133303425 26.723895304012828
24 558.9743368622152 152.26631355588353 6287.0 2.04750307492756 -0.7780614066343378 37.47033220532282 27.170800749774738
25 237.52599699666396 154.6305972611936 5782.0 1.2229855253145852 -0.21855329240019133 37.23593495856616 26.572523640646775
26 278.11583404467694 167.10690071251943 6577.0 1.9769774017647797 -0.7400042626304771 37.24251801121172 26.65689411577768
27 369.8951608469788 167.42166354216383 5424.0 1.0669121427714874 -0.07032164490486875 37.30765947031613 26.828396843056517
28 83.13247174650677 169.81840727927093 6392.0 1.8788408122601932 -0.6847249634422925 37.098036602047586 26.294875053570724
29 731.632128430044 171.22249260754768 16992.0 18.44315063595588 -3.1645877835144813 37.55979413104705 27.506122454739376
30 308.5668752748036 173.17120351782404 10533.0 9.32135772213956 -2.4236979376144685 37.25339391550631 26.71791335506705
31 424.75315246885344 180.48744600347243 25490.0 38.5128359661637 -3.9640137497577754 37.323395686955216 26.939802808825014
32 16.85354435208875 182.00294706291416 7920.0 3.7882680865048495 -1.4461017634534534 37.02863362373028 26.17959767836977
33 216.27406599823794 196.30454861006848 29455.0 37.67129491086935 -3.940026372181883 37.145641583870244 26.56165051700575
34 474.2258686134564 201.11205638289425 5849.0 1.3299434534560768 -0.3095829400604502 37.32165866087981 27.046380094007482
35 6.0419194507537926 201.49862944659208 6803.0 2.539711734497571 -1.0119610639695158 36.985770440034145 26.172888046571735
36 85.10340087580873 203.76938639083176 12672.0 10.492105058264357 -2.55215657641132 37.038282833213316 26.32200702183778
37 347.853794780359 204.79285626298767 6073.0 1.4583974490855531 -0.40968974003433734 37.22455259904626 26.813078029265025
38 62.96489288033175 236.019238144774 28892.0 29.907615644779664 -3.6894544767782627 36.964332833834135 26.302969041062223
39 489.63867010036984 236.72887599049417 5798.0 1.2466807016192185 -0.2393880918333349 37.26852735394614 27.09974904595583
40 341.9707186421791 239.86031856077827 10165.0 6.822603586537208 -2.084875345545195 37.15716441576829 26.826323556776302
41 620.4407767225097 242.9679645110804 5853.0 1.2583769778460445 -0.24952691054895354 37.350933748581404 27.348171519822202
42 641.0962943437534 244.47758545869794 8900.0 6.161463064277084 -1.974209623469911 37.363002189666176 27.387763217365006
43 280.8359286225864 247.61123996482985 5947.0 1.587769590063491 -0.5019686995346903 37.099431776987146 26.71758375865566
44 365.2556964289619 264.49307528930916 5864.0 1.2938608011398849 -0.27971888915352466 37.12945760167488 26.88679623873602
45 151.20066679935877 270.9431630352173 15881.0 15.819340259774155 -2.9979709185877517 36.9645867256496 26.491766886706323
46 207.53687989645013 270.5285723970946 6875.0 3.339197792559696 -1.3091053615570856 37.005667005585074 26.596619240693197
47 21.972049503717432 275.24242924801524 9299.0 5.896117830107603 -1.9264153850812704 36.86432134284031 26.253560974562493
48 31.096367871639004 275.4837355886092 5807.0 1.4413444005748806 -0.3969194131700078 36.87041908197843 26.270756141047936
