#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
2.200000e+01   3.733393e+01   2.672375e+01   5.050331e+00   -1.758300e+00   -3.184252e-02   -5.252221e-01   5.261865e-01
2.300000e+01   3.733420e+01   2.672381e+01   5.234467e+00   -1.797181e+00   9.339523e-01   -2.892944e-01   9.777311e-01
2.200000e+01   3.733398e+01   2.672389e+01   4.544249e+00   -1.643655e+00   1.220215e-01   -8.172704e-03   1.222949e-01
2.100000e+01   3.733408e+01   2.672389e+01   4.650267e+00   -1.668695e+00   5.033851e-01   -2.850372e-02   5.041914e-01
2.300000e+01   3.733419e+01   2.672390e+01   4.519068e+00   -1.637622e+00   8.925731e-01   6.272028e-03   8.925952e-01
2.200000e+01   3.733421e+01   2.672391e+01   3.998077e+00   -1.504628e+00   9.537373e-01   4.212122e-02   9.546669e-01
2.100000e+01   3.733405e+01   2.672393e+01   3.981643e+00   -1.500156e+00   3.875940e-01   1.409680e-01   4.124332e-01
2.300000e+01   3.733403e+01   2.672399e+01   4.338606e+00   -1.593376e+00   3.182914e-01   3.387757e-01   4.648423e-01
2.100000e+01   3.733407e+01   2.672402e+01   4.500742e+00   -1.633210e+00   4.556081e-01   4.497138e-01   6.401728e-01
2.100000e+01   3.733394e+01   2.672389e+01   3.985441e+00   -1.501191e+00   0.000000e+00   0.000000e+00   0.000000e+00
