#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
1.100000e+01   3.729563e+01   2.653696e+01   1.406660e+00   -3.704725e-01   2.794299e-02   4.095822e-01   4.105343e-01
1.100000e+01   3.729564e+01   2.653679e+01   1.526721e+00   -4.593992e-01   5.348594e-02   -2.204087e-01   2.268055e-01
1.300000e+01   3.729580e+01   2.653675e+01   1.432459e+00   -3.902054e-01   6.313814e-01   -3.526109e-01   7.231714e-01
1.400000e+01   3.729531e+01   2.653707e+01   1.300981e+00   -2.856776e-01   -1.130436e+00   8.086228e-01   1.389876e+00
1.400000e+01   3.729530e+01   2.653677e+01   1.223804e+00   -2.192794e-01   -1.170764e+00   -2.648116e-01   1.200339e+00
1.400000e+01   3.729540e+01   2.653689e+01   1.178950e+00   -1.787384e-01   -8.155824e-01   1.670959e-01   8.325237e-01
1.300000e+01   3.729556e+01   2.653713e+01   1.266373e+00   -2.564040e-01   -2.387006e-01   1.011335e+00   1.039123e+00
1.300000e+01   3.729562e+01   2.653685e+01   1.116170e+00   -1.193257e-01   0.000000e+00   0.000000e+00   0.000000e+00
