#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
1.300000e+01   3.718370e+01   2.625341e+01   1.398088e+00   -3.638365e-01   6.067209e-01   5.119843e-01   7.938754e-01
1.200000e+01   3.718361e+01   2.625340e+01   1.389385e+00   -3.570566e-01   2.707184e-01   4.747366e-01   5.465010e-01
1.500000e+01   3.718370e+01   2.625354e+01   1.551206e+00   -4.766738e-01   5.968184e-01   1.012639e+00   1.175428e+00
1.500000e+01   3.718328e+01   2.625290e+01   1.381677e+00   -3.510163e-01   -9.360750e-01   -1.302793e+00   1.604215e+00
1.500000e+01   3.718344e+01   2.625328e+01   1.391180e+00   -3.584580e-01   -3.424062e-01   4.189872e-02   3.449602e-01
1.500000e+01   3.718355e+01   2.625329e+01   1.493216e+00   -4.353065e-01   5.456270e-02   9.084791e-02   1.059737e-01
1.500000e+01   3.718321e+01   2.625349e+01   1.617062e+00   -5.218166e-01   -1.182875e+00   8.291378e-01   1.444529e+00
1.400000e+01   3.718354e+01   2.625326e+01   1.477603e+00   -4.238947e-01   0.000000e+00   0.000000e+00   0.000000e+00
