#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
3.500000e+01   3.686367e+01   2.627029e+01   1.383754e+00   -3.526469e-01   -1.445187e-01   -1.700538e-01   2.231680e-01
3.900000e+01   3.686331e+01   2.627046e+01   1.547723e+00   -4.742328e-01   -1.420889e+00   4.372774e-01   1.486653e+00
3.500000e+01   3.686366e+01   2.627070e+01   1.457543e+00   -4.090537e-01   -1.867114e-01   1.309454e+00   1.322698e+00
3.100000e+01   3.686326e+01   2.627055e+01   1.705620e+00   -5.797056e-01   -1.600993e+00   7.713644e-01   1.777128e+00
3.800000e+01   3.686371e+01   2.627034e+01   1.651180e+00   -5.444859e-01   0.000000e+00   0.000000e+00   0.000000e+00
