#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
7.000000e+00   3.743598e+01   2.651052e+01   2.051946e+00   -7.804146e-01   1.915189e+00   -5.812338e-01   2.001445e+00
7.000000e+00   3.743559e+01   2.651039e+01   2.052874e+00   -7.809056e-01   5.162991e-01   -1.058136e+00   1.177377e+00
7.000000e+00   3.743546e+01   2.651066e+01   1.945869e+00   -7.227842e-01   2.865074e-02   -7.568161e-02   8.092324e-02
8.000000e+00   3.743586e+01   2.651068e+01   1.775725e+00   -6.234392e-01   1.483472e+00   3.261403e-03   1.483475e+00
8.000000e+00   3.743574e+01   2.651067e+01   1.950451e+00   -7.253376e-01   1.054789e+00   -2.512300e-02   1.055089e+00
6.000000e+00   3.743573e+01   2.651063e+01   1.784107e+00   -6.285522e-01   9.931540e-01   -1.658868e-01   1.006913e+00
6.000000e+00   3.743545e+01   2.651068e+01   2.208528e+00   -8.602575e-01   0.000000e+00   0.000000e+00   0.000000e+00
