#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
3.800000e+01   3.421487e+02   2.383081e+02   3.715716e+01   2.682611e+01   6.169964e+00   -1.975707e+00   -5.163695e-01   -1.433166e+00   1.523353e+00
4.000000e+01   3.420996e+02   2.388576e+02   3.715703e+01   2.682627e+01   6.619110e+00   -2.051999e+00   -9.921658e-01   -8.780787e-01   1.324921e+00
3.900000e+01   3.420197e+02   2.392009e+02   3.715728e+01   2.682616e+01   6.598410e+00   -2.048598e+00   -8.260408e-02   -1.262115e+00   1.264816e+00
3.900000e+01   3.419797e+02   2.395255e+02   3.715721e+01   2.682632e+01   6.171060e+00   -1.975899e+00   -3.410133e-01   -6.768321e-01   7.578864e-01
4.000000e+01   3.419707e+02   2.398603e+02   3.715716e+01   2.682632e+01   6.822604e+00   -2.084875e+00   -5.076320e-01   -6.775220e-01   8.465969e-01
3.900000e+01   3.419249e+02   2.400133e+02   3.715725e+01   2.682644e+01   6.618069e+00   -2.051828e+00   -2.092384e-01   -2.626098e-01   3.357746e-01
3.900000e+01   3.419364e+02   2.401008e+02   3.715721e+01   2.682633e+01   6.909553e+00   -2.098625e+00   -3.472197e-01   -6.422092e-01   7.300646e-01
4.200000e+01   3.418852e+02   2.404565e+02   3.715711e+01   2.682643e+01   5.985149e+00   -1.942687e+00   -7.181958e-01   -2.980880e-01   7.775999e-01
3.800000e+01   3.418742e+02   2.407293e+02   3.715712e+01   2.682646e+01   6.258060e+00   -1.991099e+00   -6.533412e-01   -1.794137e-01   6.775278e-01
3.900000e+01   3.416413e+02   2.412052e+02   3.715731e+01   2.682651e+01   5.717563e+00   -1.893027e+00   0.000000e+00   0.000000e+00   0.000000e+00
