#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
8.600000e+01   5.878808e+02   5.685566e+02   3.673820e+01   2.751294e+01   9.283403e+00   -2.419268e+00   -7.327671e-01   3.411514e-01   8.082894e-01
9.000000e+01   5.877968e+02   5.689875e+02   3.673825e+01   2.751284e+01   9.974690e+00   -2.497249e+00   -5.256932e-01   -3.521341e-02   5.268713e-01
8.800000e+01   5.876038e+02   5.694093e+02   3.673823e+01   2.751259e+01   8.473527e+00   -2.320161e+00   -5.932418e-01   -9.397682e-01   1.111351e+00
9.200000e+01   5.875105e+02   5.697692e+02   3.673813e+01   2.751258e+01   8.609336e+00   -2.337424e+00   -9.717327e-01   -9.857869e-01   1.384211e+00
8.800000e+01   5.875486e+02   5.700095e+02   3.673820e+01   2.751271e+01   9.510988e+00   -2.445564e+00   -7.221179e-01   -5.055963e-01   8.815225e-01
9.000000e+01   5.874261e+02   5.701124e+02   3.673838e+01   2.751265e+01   9.154464e+00   -2.404082e+00   -6.364526e-02   -7.118616e-01   7.147011e-01
8.800000e+01   5.874724e+02   5.702794e+02   3.673820e+01   2.751261e+01   8.693441e+00   -2.347979e+00   -7.003221e-01   -8.503280e-01   1.101594e+00
9.000000e+01   5.874832e+02   5.706072e+02   3.673822e+01   2.751280e+01   8.099863e+00   -2.271194e+00   -6.343419e-01   -1.825430e-01   6.600845e-01
9.000000e+01   5.873880e+02   5.708848e+02   3.673812e+01   2.751278e+01   9.612396e+00   -2.457079e+00   -1.019478e+00   -2.394814e-01   1.047228e+00
9.000000e+01   5.871633e+02   5.713127e+02   3.673840e+01   2.751285e+01   9.662987e+00   -2.462778e+00   0.000000e+00   0.000000e+00   0.000000e+00
