#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
9.000000e+00   2.459487e+02   4.137578e+01   3.744305e+01   2.651050e+01   2.181742e+00   -8.470087e-01   1.039293e+00   -1.143067e-01   1.045560e+00
1.000000e+01   2.458277e+02   4.194302e+01   3.744282e+01   2.651059e+01   2.139849e+00   -8.259576e-01   2.159753e-01   2.015439e-01   2.954070e-01
1.000000e+01   2.456773e+02   4.230261e+01   3.744303e+01   2.651035e+01   1.931765e+00   -7.148858e-01   9.609889e-01   -6.641598e-01   1.168164e+00
1.000000e+01   2.454795e+02   4.262631e+01   3.744279e+01   2.651027e+01   1.889633e+00   -6.909435e-01   1.172865e-01   -9.468963e-01   9.541324e-01
1.000000e+01   2.456140e+02   4.308610e+01   3.744268e+01   2.651056e+01   1.970073e+00   -7.362056e-01   -2.884100e-01   1.059441e-01   3.072531e-01
1.000000e+01   2.456133e+02   4.308087e+01   3.744305e+01   2.651064e+01   1.821895e+00   -6.513081e-01   1.030121e+00   4.040634e-01   1.106533e+00
1.000000e+01   2.455880e+02   4.323524e+01   3.744288e+01   2.651054e+01   1.849987e+00   -6.679216e-01   4.217472e-01   2.325801e-02   4.223880e-01
1.000000e+01   2.454689e+02   4.349619e+01   3.744287e+01   2.651044e+01   1.693420e+00   -5.719114e-01   4.057728e-01   -3.168044e-01   5.147976e-01
1.000000e+01   2.454655e+02   4.390781e+01   3.744267e+01   2.651054e+01   2.144531e+00   -8.283307e-01   -3.070908e-01   2.898093e-02   3.084553e-01
1.000000e+01   2.451978e+02   4.442542e+01   3.744276e+01   2.651053e+01   1.883657e+00   -6.875047e-01   0.000000e+00   0.000000e+00   0.000000e+00
