#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
7.400000e+01   3.088592e+02   4.647979e+02   3.672528e+01   2.692044e+01   1.166715e+00   -1.674119e-01   7.931771e-01   7.387626e-01   1.083928e+00
7.600000e+01   3.086379e+02   4.650438e+02   3.672562e+01   2.692003e+01   1.082859e+00   -8.643023e-02   2.022934e+00   -7.305845e-01   2.150818e+00
7.500000e+01   3.083620e+02   4.657540e+02   3.672502e+01   2.691984e+01   1.197983e+00   -1.961269e-01   -1.451777e-01   -1.403061e+00   1.410552e+00
7.600000e+01   3.083165e+02   4.659281e+02   3.672531e+01   2.691984e+01   1.260366e+00   -2.512420e-01   8.796157e-01   -1.392686e+00   1.647210e+00
7.700000e+01   3.082922e+02   4.661864e+02   3.672531e+01   2.691982e+01   1.360340e+00   -3.341184e-01   9.034402e-01   -1.480742e+00   1.734590e+00
7.800000e+01   3.081449e+02   4.664574e+02   3.672514e+01   2.691985e+01   1.242809e+00   -2.360108e-01   2.692241e-01   -1.379007e+00   1.405042e+00
7.300000e+01   3.083564e+02   4.666191e+02   3.672508e+01   2.692017e+01   1.239193e+00   -2.328472e-01   5.288481e-02   -2.234813e-01   2.296535e-01
7.600000e+01   3.081791e+02   4.670465e+02   3.672530e+01   2.691995e+01   1.642972e+00   -5.390756e-01   8.630371e-01   -9.929548e-01   1.315596e+00
7.500000e+01   3.079689e+02   4.677477e+02   3.672506e+01   2.692023e+01   1.327528e+00   -3.076095e-01   0.000000e+00   0.000000e+00   0.000000e+00
