#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
2.000000e+01   1.660882e+02   1.210298e+02   3.724235e+01   2.641646e+01   1.270553e+00   -2.599821e-01   -1.363178e+00   -1.966362e+00   2.392663e+00
2.100000e+01   1.660278e+02   1.213526e+02   3.724264e+01   2.641649e+01   1.272239e+00   -2.614218e-01   -3.215560e-01   -1.835646e+00   1.863597e+00
2.100000e+01   1.658892e+02   1.225127e+02   3.724251e+01   2.641664e+01   1.063202e+00   -6.653923e-02   -7.801358e-01   -1.294297e+00   1.511230e+00
2.000000e+01   1.658830e+02   1.226781e+02   3.724257e+01   2.641685e+01   1.035563e+00   -3.794182e-02   -5.713007e-01   -5.617760e-01   8.012345e-01
1.900000e+01   1.658749e+02   1.228549e+02   3.724235e+01   2.641680e+01   1.189662e+00   -1.885587e-01   -1.341536e+00   -7.224862e-01   1.523714e+00
2.100000e+01   1.658860e+02   1.229375e+02   3.724279e+01   2.641683e+01   1.191942e+00   -1.906382e-01   2.341237e-01   -6.200669e-01   6.627947e-01
1.900000e+01   1.658664e+02   1.233179e+02   3.724264e+01   2.641686e+01   1.253760e+00   -2.455362e-01   -3.185790e-01   -5.251216e-01   6.142030e-01
1.900000e+01   1.656702e+02   1.238490e+02   3.724273e+01   2.641700e+01   1.264584e+00   -2.548692e-01   0.000000e+00   0.000000e+00   0.000000e+00
