#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
1.600000e+01   3.747020e+01   2.717074e+01   2.038252e+00   -7.731445e-01   6.189520e-01   -1.753508e+00   1.859541e+00
2.000000e+01   3.747036e+01   2.717080e+01   2.091189e+00   -8.009830e-01   1.177468e+00   -1.563071e+00   1.956942e+00
1.900000e+01   3.747006e+01   2.717110e+01   2.049836e+00   -7.792977e-01   9.095785e-02   -4.624600e-01   4.713200e-01
1.800000e+01   3.747019e+01   2.717100e+01   1.967857e+00   -7.349840e-01   5.667258e-01   -8.212006e-01   9.977718e-01
1.500000e+01   3.747003e+01   2.717123e+01   2.259105e+00   -8.848411e-01   0.000000e+00   0.000000e+00   0.000000e+00
