#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
5.700000e+01   3.643722e+01   2.672384e+01   1.337518e+00   -3.157488e-01   -2.133154e-01   -2.006306e+00   2.017614e+00
6.400000e+01   3.643748e+01   2.672365e+01   1.428674e+00   -3.873327e-01   7.346045e-01   -2.704504e+00   2.802496e+00
5.700000e+01   3.643714e+01   2.672354e+01   1.290862e+00   -2.771994e-01   -5.096659e-01   -3.086478e+00   3.128275e+00
7.000000e+01   3.643739e+01   2.672359e+01   1.701121e+00   -5.768378e-01   3.969144e-01   -2.910581e+00   2.937520e+00
6.000000e+01   3.643742e+01   2.672380e+01   1.500717e+00   -4.407471e-01   5.170916e-01   -2.158969e+00   2.220030e+00
6.600000e+01   3.643722e+01   2.672398e+01   1.491310e+00   -4.339195e-01   -2.059489e-01   -1.524565e+00   1.538413e+00
6.600000e+01   3.643728e+01   2.672440e+01   1.479985e+00   -4.256436e-01   0.000000e+00   0.000000e+00   0.000000e+00
