#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
1.700000e+01   3.718367e+01   2.625338e+01   1.355879e+00   -3.305526e-01   5.222289e-01   3.392385e-01   6.227405e-01
1.800000e+01   3.718362e+01   2.625337e+01   1.341519e+00   -3.189924e-01   3.332848e-01   3.159939e-01   4.592721e-01
1.700000e+01   3.718352e+01   2.625352e+01   1.435038e+00   -3.921588e-01   2.937568e-04   8.566086e-01   8.566087e-01
1.700000e+01   3.718325e+01   2.625293e+01   1.304534e+00   -2.886385e-01   -9.829278e-01   -1.279190e+00   1.613219e+00
1.700000e+01   3.718341e+01   2.625330e+01   1.341208e+00   -3.187407e-01   -4.026062e-01   7.333232e-02   4.092302e-01
1.600000e+01   3.718357e+01   2.625329e+01   1.386721e+00   -3.549731e-01   1.812617e-01   1.263812e-02   1.817018e-01
1.800000e+01   3.718320e+01   2.625351e+01   1.482832e+00   -4.277299e-01   -1.155246e+00   8.130070e-01   1.412648e+00
1.600000e+01   3.718352e+01   2.625328e+01   1.296408e+00   -2.818543e-01   0.000000e+00   0.000000e+00   0.000000e+00
