#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
1.700000e+01   2.330422e+02   1.140476e+02   3.730288e+01   2.653661e+01   1.438826e+00   -3.950209e-01   7.119670e-01   -7.343172e-01   1.022800e+00
1.800000e+01   2.330089e+02   1.145473e+02   3.730285e+01   2.653681e+01   1.302377e+00   -2.868420e-01   6.130714e-01   -3.177071e-02   6.138940e-01
1.800000e+01   2.328406e+02   1.150779e+02   3.730272e+01   2.653666e+01   1.593779e+00   -5.060699e-01   1.401066e-01   -5.537648e-01   5.712139e-01
1.800000e+01   2.328070e+02   1.151781e+02   3.730304e+01   2.653672e+01   1.452512e+00   -4.052996e-01   1.273489e+00   -3.409671e-01   1.318345e+00
1.800000e+01   2.328935e+02   1.157939e+02   3.730259e+01   2.653705e+01   1.274712e+00   -2.635302e-01   -3.533077e-01   8.424702e-01   9.135548e-01
1.800000e+01   2.326064e+02   1.159475e+02   3.730247e+01   2.653671e+01   1.204444e+00   -2.019665e-01   -7.735029e-01   -3.642259e-01   8.549662e-01
1.700000e+01   2.327240e+02   1.160204e+02   3.730254e+01   2.653682e+01   1.160408e+00   -1.615270e-01   -5.218111e-01   1.608059e-02   5.220588e-01
1.800000e+01   2.328060e+02   1.162278e+02   3.730279e+01   2.653706e+01   1.288672e+00   -2.753558e-01   3.856816e-01   8.971491e-01   9.765382e-01
1.700000e+01   2.323761e+02   1.170817e+02   3.730268e+01   2.653682e+01   1.199193e+00   -1.972228e-01   0.000000e+00   0.000000e+00   0.000000e+00
