#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
3.600000e+01   6.320945e+01   2.345584e+02   3.696413e+01   2.630284e+01   2.506395e+01   -3.497624e+00   -8.914056e-01   -1.907639e+00   2.105633e+00
3.800000e+01   6.311798e+01   2.349766e+02   3.696427e+01   2.630289e+01   3.045160e+01   -3.709025e+00   -3.815994e-01   -1.735475e+00   1.776934e+00
3.700000e+01   6.302599e+01   2.354715e+02   3.696422e+01   2.630290e+01   2.561235e+01   -3.521124e+00   -5.833506e-01   -1.707203e+00   1.804117e+00
3.700000e+01   6.298812e+01   2.357984e+02   3.696420e+01   2.630310e+01   2.951462e+01   -3.675093e+00   -6.456177e-01   -9.834417e-01   1.176427e+00
3.800000e+01   6.296489e+01   2.360192e+02   3.696433e+01   2.630297e+01   2.990762e+01   -3.689454e+00   -1.711426e-01   -1.461040e+00   1.471030e+00
3.700000e+01   6.292858e+01   2.361454e+02   3.696445e+01   2.630311e+01   2.882329e+01   -3.649359e+00   2.339351e-01   -9.642144e-01   9.921870e-01
3.700000e+01   6.294492e+01   2.362690e+02   3.696432e+01   2.630309e+01   2.800573e+01   -3.618117e+00   -2.114786e-01   -1.030877e+00   1.052345e+00
4.000000e+01   6.293707e+01   2.366436e+02   3.696426e+01   2.630329e+01   2.716485e+01   -3.585018e+00   -4.425155e-01   -3.154540e-01   5.434439e-01
3.600000e+01   6.292750e+01   2.369151e+02   3.696431e+01   2.630324e+01   3.092464e+01   -3.725762e+00   -2.676548e-01   -5.031542e-01   5.699151e-01
3.700000e+01   6.272431e+01   2.374335e+02   3.696438e+01   2.630337e+01   2.348822e+01   -3.427125e+00   0.000000e+00   0.000000e+00   0.000000e+00
