#   ID    	x	      y	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec 
1.000000e+00   1.456886e+00   1.014854e+00   1.377649e+00   -3.478468e-01   0.000000e+00   0.000000e+00   0.000000e+00
1.000000e+00   0.000000e+00   0.000000e+00   1.168139e+00   -1.687359e-01   9.312751e+01   -2.527411e+02   2.693526e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.068333e+00   -7.176684e-02   -1.381255e+02   4.426955e+02   4.637434e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.477790e+00   -4.240316e-01   6.605466e+01   -1.800388e+02   1.917738e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.051408e+00   -5.442867e-02   -1.737381e+02   4.679390e+02   4.991511e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.269873e+00   -2.594003e-01   6.136684e+01   -1.642071e+02   1.752993e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.303916e+00   -2.881240e-01   5.563741e+01   -1.477031e+02   1.578345e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.008068e+00   -8.724632e-03   -1.762866e+02   4.805543e+02   5.118685e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.289144e+00   -2.757532e-01   4.953620e+01   -1.339065e+02   1.427753e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.299690e+00   -2.845994e-01   4.519923e+01   -1.170183e+02   1.254442e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.239717e+00   -2.333065e-01   3.786869e+01   -1.055325e+02   1.121212e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.322681e+00   -3.036377e-01   3.438670e+01   -8.944561e+01   9.582777e+01
1.000000e+00   0.000000e+00   0.000000e+00   1.489345e+00   -4.324884e-01   2.787631e+01   -7.622610e+01   8.116346e+01
1.000000e+00   0.000000e+00   0.000000e+00   1.324937e+00   -3.054878e-01   2.098887e+01   -5.860627e+01   6.225132e+01
1.000000e+00   0.000000e+00   0.000000e+00   1.160551e+00   -1.616610e-01   1.778834e+01   -4.416414e+01   4.761194e+01
1.000000e+00   0.000000e+00   0.000000e+00   1.314130e+00   -2.965956e-01   1.082509e+01   -3.034338e+01   3.221651e+01
1.000000e+00   0.000000e+00   0.000000e+00   1.424219e+00   -3.839421e-01   5.199458e+00   -1.355767e+01   1.452049e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.026521e+00   -2.841936e-02   -2.332147e+02   5.431864e+02   5.911349e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.161484e+00   -1.625334e-01   -5.626283e+00   1.699410e+01   1.790124e+01
1.000000e+00   0.000000e+00   0.000000e+00   1.323269e+00   -3.041205e-01   -1.140263e+01   2.970284e+01   3.181633e+01
1.000000e+00   0.000000e+00   0.000000e+00   1.444508e+00   -3.992997e-01   -1.695739e+01   4.482498e+01   4.792527e+01
1.000000e+00   0.000000e+00   0.000000e+00   1.378254e+00   -3.483231e-01   -2.506366e+01   6.208307e+01   6.695143e+01
1.000000e+00   0.000000e+00   0.000000e+00   1.489628e+00   -4.326948e-01   -3.661274e+01   9.121794e+01   9.829143e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.064728e+00   -6.809661e-02   -2.672015e+02   6.396987e+02   6.932612e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.326100e+00   -3.064408e-01   -4.266878e+01   1.075710e+02   1.157245e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.333629e+00   -3.125875e-01   -4.629975e+01   1.216209e+02   1.301357e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.355976e+00   -3.306298e-01   -5.278984e+01   1.358380e+02   1.457351e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.284515e+00   -2.718481e-01   -5.953055e+01   1.521790e+02   1.634085e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.521637e+00   -4.557774e-01   -6.450810e+01   1.640969e+02   1.763209e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.312765e+00   -2.954673e-01   -7.233205e+01   1.809307e+02   1.948533e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.435985e+00   -3.928747e-01   -7.801094e+01   1.971975e+02   2.120673e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.535302e+00   -4.654849e-01   -8.310893e+01   2.087062e+02   2.246450e+02
