#   ID    	x	      y	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec 
8.000000e+00   5.503001e+02   4.805672e+02   1.017758e+00   -1.911098e-02   0.000000e+00   0.000000e+00   0.000000e+00
5.000000e+00   0.000000e+00   0.000000e+00   1.426424e+00   -3.856215e-01   2.700647e+02   -1.195207e+02   2.953305e+02
6.000000e+00   0.000000e+00   0.000000e+00   1.017571e+00   -1.891219e-02   5.209188e+01   -5.086378e+01   7.280583e+01
5.000000e+00   0.000000e+00   0.000000e+00   1.030347e+00   -3.245927e-02   3.740261e+01   -4.222980e+01   5.641198e+01
6.000000e+00   0.000000e+00   0.000000e+00   1.113831e+00   -1.170485e-01   2.313945e+02   -7.950772e+01   2.446730e+02
7.000000e+00   0.000000e+00   0.000000e+00   1.428199e+00   -3.869721e-01   2.174520e+02   -5.854062e+01   2.251941e+02
6.000000e+00   0.000000e+00   0.000000e+00   1.208943e+00   -2.060147e-01   2.100388e+02   -4.140736e+01   2.140815e+02
8.000000e+00   0.000000e+00   0.000000e+00   1.196742e+00   -1.950016e-01   2.019385e+02   -3.745345e+01   2.053824e+02
5.000000e+00   0.000000e+00   0.000000e+00   1.092900e+00   -9.645074e-02   1.778816e+02   2.838193e+01   1.801316e+02
6.000000e+00   0.000000e+00   0.000000e+00   1.257110e+00   -2.484335e-01   1.675597e+02   5.257542e+01   1.756144e+02
4.000000e+00   0.000000e+00   0.000000e+00   1.198994e+00   -1.970424e-01   1.165182e+02   2.220415e+02   2.507567e+02
