#   ID    	x	      y	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec 
3.000000e+00   1.249484e+02   1.670125e+02   1.468671e+01   -2.917311e+00   0.000000e+00   0.000000e+00   0.000000e+00
4.000000e+00   0.000000e+00   0.000000e+00   1.666280e+01   -3.054370e+00   1.010302e+02   -1.085219e+02   1.482704e+02
2.000000e+00   0.000000e+00   0.000000e+00   1.617879e+01   -3.022365e+00   7.193773e+01   -8.380312e+01   1.104446e+02
4.000000e+00   0.000000e+00   0.000000e+00   1.180478e+01   -2.680145e+00   6.836742e+01   -8.047893e+01   1.055981e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.363875e+01   -2.836936e+00   6.226355e+01   -7.528999e+01   9.770022e+01
4.000000e+00   0.000000e+00   0.000000e+00   1.245441e+01   -2.738308e+00   6.048392e+01   -6.745024e+01   9.059713e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.435444e+01   -2.892466e+00   5.890289e+01   -5.876277e+01   8.320224e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.536719e+01   -2.966486e+00   5.134275e+01   -5.335696e+01   7.404757e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.373525e+01   -2.844591e+00   4.266017e+01   -5.024287e+01   6.591082e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.561501e+01   -2.983856e+00   3.588588e+01   -4.799875e+01   5.993060e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.213517e+01   -2.710115e+00   3.092510e+01   -4.253076e+01   5.258543e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.321115e+01   -2.802352e+00   2.483462e+01   -3.444063e+01   4.246075e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.280209e+01   -2.768202e+00   1.727431e+01   -2.139468e+01   2.749790e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.292384e+01   -2.778479e+00   1.224530e+01   -6.444583e+00   1.383763e+01
4.000000e+00   0.000000e+00   0.000000e+00   1.585685e+01   -3.000543e+00   5.012558e+00   -2.965485e+00   5.824074e+00
3.000000e+00   0.000000e+00   0.000000e+00   1.312967e+01   -2.795635e+00   -5.325016e+00   1.298193e+01   1.403162e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.251765e+01   -2.743807e+00   -1.245175e+01   3.485449e+01   3.701191e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.346771e+01   -2.823234e+00   -1.804311e+01   5.261114e+01   5.561912e+01
3.000000e+00   0.000000e+00   0.000000e+00   1.386540e+01   -2.854831e+00   -2.321455e+01   6.739249e+01   7.127877e+01
2.000000e+00   0.000000e+00   0.000000e+00   1.338044e+01   -2.816176e+00   -2.833791e+01   8.726299e+01   9.174893e+01
4.000000e+00   0.000000e+00   0.000000e+00   1.263567e+01   -2.753995e+00   -3.488651e+01   1.016405e+02   1.074609e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.250137e+01   -2.742394e+00   -3.960577e+01   1.170509e+02   1.235699e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.454102e+01   -2.906487e+00   -4.671647e+01   1.337983e+02   1.417195e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.461047e+01   -2.911660e+00   -5.127047e+01   1.480714e+02   1.566965e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.362631e+01   -2.835946e+00   -5.910154e+01   1.651753e+02   1.754305e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.223360e+01   -2.718886e+00   -6.429354e+01   1.823851e+02   1.933856e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.284112e+01   -2.771507e+00   -6.912838e+01   2.067148e+02   2.179673e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.334597e+01   -2.813375e+00   -7.948717e+01   2.366209e+02   2.496150e+02
3.000000e+00   0.000000e+00   0.000000e+00   1.395015e+01   -2.861447e+00   -8.105621e+01   2.583432e+02   2.707606e+02
