#   ID    	x	      y	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec 
2.000000e+00   5.760180e+02   9.898888e-01   2.576420e+01   -3.527542e+00   0.000000e+00   0.000000e+00   0.000000e+00
2.000000e+00   0.000000e+00   0.000000e+00   1.590482e+01   -3.003822e+00   1.064430e+02   -1.090191e+02   1.523656e+02
1.000000e+00   0.000000e+00   0.000000e+00   1.826345e+01   -3.153957e+00   7.399285e+01   -8.533676e+01   1.129482e+02
2.000000e+00   0.000000e+00   0.000000e+00   1.846226e+01   -3.165712e+00   7.204993e+01   -7.963408e+01   1.073908e+02
2.000000e+00   0.000000e+00   0.000000e+00   1.516981e+01   -2.952450e+00   6.575696e+01   -7.393446e+01   9.894585e+01
2.000000e+00   0.000000e+00   0.000000e+00   1.312867e+01   -2.795552e+00   6.268317e+01   -6.848658e+01   9.284176e+01
2.000000e+00   0.000000e+00   0.000000e+00   2.039605e+01   -3.273865e+00   6.169816e+01   -6.259602e+01   8.789155e+01
2.000000e+00   0.000000e+00   0.000000e+00   1.922645e+01   -3.209748e+00   5.344379e+01   -5.638920e+01   7.769157e+01
2.000000e+00   0.000000e+00   0.000000e+00   1.969381e+01   -3.235824e+00   4.752119e+01   -5.564372e+01   7.317436e+01
2.000000e+00   0.000000e+00   0.000000e+00   2.091177e+01   -3.300977e+00   3.830881e+01   -4.842868e+01   6.174870e+01
2.000000e+00   0.000000e+00   0.000000e+00   1.876433e+01   -3.183333e+00   3.156836e+01   -4.205902e+01   5.258823e+01
2.000000e+00   0.000000e+00   0.000000e+00   2.001567e+01   -3.253425e+00   2.574669e+01   -3.424125e+01   4.284105e+01
2.000000e+00   0.000000e+00   0.000000e+00   1.967041e+01   -3.234533e+00   1.903026e+01   -2.317719e+01   2.998888e+01
2.000000e+00   0.000000e+00   0.000000e+00   1.909911e+01   -3.202533e+00   1.361361e+01   -8.287812e+00   1.593794e+01
2.000000e+00   0.000000e+00   0.000000e+00   2.411060e+01   -3.455520e+00   6.948440e+00   -3.951889e+00   7.993638e+00
2.000000e+00   0.000000e+00   0.000000e+00   2.394749e+01   -3.448150e+00   -6.413716e+00   1.458396e+01   1.593197e+01
2.000000e+00   0.000000e+00   0.000000e+00   2.457184e+01   -3.476094e+00   -1.029656e+01   3.376459e+01   3.529967e+01
2.000000e+00   0.000000e+00   0.000000e+00   2.306645e+01   -3.407452e+00   -1.622682e+01   5.296070e+01   5.539084e+01
2.000000e+00   0.000000e+00   0.000000e+00   2.425007e+01   -3.461783e+00   -2.257306e+01   6.616158e+01   6.990635e+01
1.000000e+00   0.000000e+00   0.000000e+00   2.474961e+01   -3.483921e+00   -2.767330e+01   8.363333e+01   8.809282e+01
2.000000e+00   0.000000e+00   0.000000e+00   2.463643e+01   -3.478944e+00   -3.333695e+01   9.988111e+01   1.052976e+02
2.000000e+00   0.000000e+00   0.000000e+00   2.402683e+01   -3.451741e+00   -3.875612e+01   1.147138e+02   1.210838e+02
2.000000e+00   0.000000e+00   0.000000e+00   2.151411e+01   -3.331808e+00   -4.494775e+01   1.325008e+02   1.399170e+02
2.000000e+00   0.000000e+00   0.000000e+00   2.351158e+01   -3.428205e+00   -5.032264e+01   1.476761e+02   1.560147e+02
2.000000e+00   0.000000e+00   0.000000e+00   2.273652e+01   -3.391810e+00   -5.704712e+01   1.632928e+02   1.729708e+02
2.000000e+00   0.000000e+00   0.000000e+00   2.235064e+01   -3.373225e+00   -6.224851e+01   1.817416e+02   1.921065e+02
2.000000e+00   0.000000e+00   0.000000e+00   2.061169e+01   -3.285284e+00   -6.747789e+01   2.073065e+02   2.180120e+02
2.000000e+00   0.000000e+00   0.000000e+00   1.844209e+01   -3.164525e+00   -7.393507e+01   2.348381e+02   2.462018e+02
2.000000e+00   0.000000e+00   0.000000e+00   2.036390e+01   -3.272152e+00   -7.871903e+01   2.545906e+02   2.664828e+02
