#   ID    	x	      y	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec 
1.000000e+01   4.100184e+02   5.009618e+02   3.891535e+00   -1.475302e+00   0.000000e+00   0.000000e+00   0.000000e+00
8.000000e+00   0.000000e+00   0.000000e+00   3.219357e+00   -1.269423e+00   9.904738e+01   -1.081824e+02   1.466759e+02
7.000000e+00   0.000000e+00   0.000000e+00   4.566433e+00   -1.648943e+00   7.253137e+01   -8.366844e+01   1.107303e+02
7.000000e+00   0.000000e+00   0.000000e+00   3.315928e+00   -1.301513e+00   6.944037e+01   -7.686785e+01   1.035888e+02
5.000000e+00   0.000000e+00   0.000000e+00   2.893941e+00   -1.153724e+00   6.311736e+01   -7.266210e+01   9.624750e+01
8.000000e+00   0.000000e+00   0.000000e+00   2.970907e+00   -1.182223e+00   5.824445e+01   -6.503882e+01   8.730673e+01
4.000000e+00   0.000000e+00   0.000000e+00   1.217309e+00   -2.135021e-01   6.631301e+02   -8.816574e+02   1.103205e+03
7.000000e+00   0.000000e+00   0.000000e+00   4.018504e+00   -1.510161e+00   5.738802e+01   -5.997949e+01   8.301159e+01
4.000000e+00   0.000000e+00   0.000000e+00   1.172925e+00   -1.731754e-01   6.537181e+02   -8.761409e+02   1.093147e+03
8.000000e+00   0.000000e+00   0.000000e+00   3.919032e+00   -1.482947e+00   4.865843e+01   -5.190904e+01   7.114908e+01
7.000000e+00   0.000000e+00   0.000000e+00   4.145368e+00   -1.543908e+00   3.522807e+01   -4.467753e+01   5.689550e+01
4.000000e+00   0.000000e+00   0.000000e+00   1.030304e+00   -3.241378e-02   6.382769e+02   -8.656477e+02   1.075520e+03
8.000000e+00   0.000000e+00   0.000000e+00   3.648567e+00   -1.405306e+00   2.958399e+01   -4.201033e+01   5.138171e+01
6.000000e+00   0.000000e+00   0.000000e+00   3.923181e+00   -1.484096e+00   2.406380e+01   -3.424126e+01   4.185129e+01
8.000000e+00   0.000000e+00   0.000000e+00   3.685427e+00   -1.416220e+00   1.649036e+01   -2.067151e+01   2.644321e+01
5.000000e+00   0.000000e+00   0.000000e+00   1.244733e+00   -2.376905e-01   6.185689e+02   -8.290122e+02   1.034354e+03
8.000000e+00   0.000000e+00   0.000000e+00   3.719599e+00   -1.426240e+00   1.238672e+01   -5.214323e+00   1.343949e+01
6.000000e+00   0.000000e+00   0.000000e+00   1.094908e+00   -9.844442e-02   6.094553e+02   -8.257928e+02   1.026338e+03
1.000000e+01   0.000000e+00   0.000000e+00   3.638328e+00   -1.402255e+00   4.440339e+00   -1.740753e+00   4.769364e+00
5.000000e+00   0.000000e+00   0.000000e+00   1.254358e+00   -2.460538e-01   6.006783e+02   -8.104558e+02   1.008788e+03
8.000000e+00   0.000000e+00   0.000000e+00   3.915108e+00   -1.481859e+00   -5.369731e+00   1.469601e+01   1.564630e+01
5.000000e+00   0.000000e+00   0.000000e+00   3.342675e+00   -1.310235e+00   -1.268568e+01   3.565405e+01   3.784359e+01
7.000000e+00   0.000000e+00   0.000000e+00   3.405963e+00   -1.330600e+00   -1.791049e+01   5.472583e+01   5.758213e+01
7.000000e+00   0.000000e+00   0.000000e+00   3.837627e+00   -1.460157e+00   -2.311579e+01   6.357967e+01   6.765142e+01
4.000000e+00   0.000000e+00   0.000000e+00   1.139867e+00   -1.421354e-01   5.742659e+02   -7.349413e+02   9.326950e+02
7.000000e+00   0.000000e+00   0.000000e+00   3.512212e+00   -1.363952e+00   -2.873460e+01   8.778586e+01   9.236901e+01
7.000000e+00   0.000000e+00   0.000000e+00   3.693137e+00   -1.418488e+00   -3.512197e+01   1.026478e+02   1.084902e+02
6.000000e+00   0.000000e+00   0.000000e+00   3.726367e+00   -1.428214e+00   -3.864649e+01   1.167310e+02   1.229621e+02
6.000000e+00   0.000000e+00   0.000000e+00   3.170888e+00   -1.252952e+00   -4.703581e+01   1.342501e+02   1.422514e+02
6.000000e+00   0.000000e+00   0.000000e+00   3.425909e+00   -1.336940e+00   -5.952333e+01   1.658889e+02   1.762446e+02
6.000000e+00   0.000000e+00   0.000000e+00   3.445021e+00   -1.342980e+00   -7.138658e+01   2.114122e+02   2.231393e+02
5.000000e+00   0.000000e+00   0.000000e+00   1.181820e+00   -1.813780e-01   5.257243e+02   -5.825856e+02   7.847241e+02
7.000000e+00   0.000000e+00   0.000000e+00   3.718146e+00   -1.425816e+00   -8.054418e+01   2.371904e+02   2.504928e+02
5.000000e+00   0.000000e+00   0.000000e+00   3.775685e+00   -1.442490e+00   -8.218430e+01   2.591979e+02   2.719151e+02
