#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec 
5.000000e+00   1.696193e+02   1.653098e+01   2.594357e+00   -1.035074e+00   0.000000e+00   0.000000e+00   0.000000e+00
4.000000e+00   1.696468e+02   1.650093e+01   2.146238e+00   -8.291946e-01   9.904738e+01   -1.081824e+02   1.466759e+02
5.000000e+00   1.696395e+02   1.650774e+01   3.044288e+00   -1.208715e+00   7.253137e+01   -8.366844e+01   1.107303e+02
4.000000e+00   1.696386e+02   1.650963e+01   2.210619e+00   -8.612847e-01   6.944037e+01   -7.686785e+01   1.035888e+02
4.000000e+00   1.696368e+02   1.651080e+01   1.929294e+00   -7.134962e-01   6.311736e+01   -7.266210e+01   9.624750e+01
6.000000e+00   1.696355e+02   1.651292e+01   1.980605e+00   -7.419946e-01   5.824445e+01   -6.503882e+01   8.730673e+01
4.000000e+00   1.696352e+02   1.651432e+01   2.679003e+00   -1.069933e+00   5.738802e+01   -5.997949e+01   8.301159e+01
4.000000e+00   1.696328e+02   1.651657e+01   2.612688e+00   -1.042719e+00   4.865843e+01   -5.190904e+01   7.114908e+01
4.000000e+00   1.696291e+02   1.651857e+01   2.763579e+00   -1.103680e+00   3.522807e+01   -4.467753e+01   5.689550e+01
4.000000e+00   1.696275e+02   1.651931e+01   2.432378e+00   -9.650775e-01   2.958399e+01   -4.201033e+01   5.138171e+01
5.000000e+00   1.696260e+02   1.652147e+01   2.615454e+00   -1.043868e+00   2.406380e+01   -3.424126e+01   4.185129e+01
6.000000e+00   1.696239e+02   1.652524e+01   2.456952e+00   -9.759915e-01   1.649036e+01   -2.067151e+01   2.644321e+01
4.000000e+00   1.696227e+02   1.652954e+01   2.479732e+00   -9.860121e-01   1.238672e+01   -5.214323e+00   1.343949e+01
5.000000e+00   1.696205e+02   1.653050e+01   2.425552e+00   -9.620266e-01   4.440339e+00   -1.740753e+00   4.769364e+00
5.000000e+00   1.696178e+02   1.653507e+01   2.610072e+00   -1.041631e+00   -5.369731e+00   1.469601e+01   1.564630e+01
4.000000e+00   1.696158e+02   1.654089e+01   2.228450e+00   -8.700073e-01   -1.268568e+01   3.565405e+01   3.784359e+01
6.000000e+00   1.696143e+02   1.654619e+01   2.270642e+00   -8.903716e-01   -1.791049e+01   5.472583e+01   5.758213e+01
4.000000e+00   1.696129e+02   1.654865e+01   2.558418e+00   -1.019929e+00   -2.311579e+01   6.357967e+01   6.765142e+01
5.000000e+00   1.696113e+02   1.655537e+01   2.341474e+00   -9.237236e-01   -2.873460e+01   8.778586e+01   9.236901e+01
5.000000e+00   1.696096e+02   1.655950e+01   2.462091e+00   -9.782603e-01   -3.512197e+01   1.026478e+02   1.084902e+02
5.000000e+00   1.696086e+02   1.656341e+01   2.484245e+00   -9.879859e-01   -3.864649e+01   1.167310e+02   1.229621e+02
5.000000e+00   1.696062e+02   1.656828e+01   2.113925e+00   -8.127241e-01   -4.703581e+01   1.342501e+02   1.422514e+02
5.000000e+00   1.696028e+02   1.657706e+01   2.283939e+00   -8.967115e-01   -5.952333e+01   1.658889e+02   1.762446e+02
5.000000e+00   1.695995e+02   1.658971e+01   2.296681e+00   -9.027517e-01   -7.138658e+01   2.114122e+02   2.231393e+02
5.000000e+00   1.695969e+02   1.659687e+01   2.478764e+00   -9.855880e-01   -8.054418e+01   2.371904e+02   2.504928e+02
4.000000e+00   1.695965e+02   1.660298e+01   2.517124e+00   -1.002261e+00   -8.218430e+01   2.591979e+02   2.719151e+02
