#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec 
4.000000e+00   1.697020e+02   1.610237e+01   3.669703e+02   -6.411577e+00   0.000000e+00   0.000000e+00   0.000000e+00
3.000000e+00   1.697312e+02   1.607328e+01   3.538495e+02   -6.372046e+00   1.050390e+02   -1.047067e+02   1.483128e+02
4.000000e+00   1.697229e+02   1.608061e+01   3.587728e+02   -6.387049e+00   7.507732e+01   -7.832947e+01   1.084993e+02
3.000000e+00   1.697221e+02   1.608172e+01   3.160287e+02   -6.249316e+00   7.232205e+01   -7.432938e+01   1.037079e+02
3.000000e+00   1.697198e+02   1.608249e+01   3.164544e+02   -6.250778e+00   6.408479e+01   -7.156280e+01   9.606297e+01
5.000000e+00   1.697189e+02   1.608494e+01   2.771910e+02   -6.106948e+00   6.076882e+01   -6.275228e+01   8.735387e+01
3.000000e+00   1.697186e+02   1.608621e+01   3.803763e+02   -6.450534e+00   5.982545e+01   -5.816915e+01   8.344300e+01
3.000000e+00   1.697161e+02   1.608841e+01   3.917430e+02   -6.482503e+00   5.086068e+01   -5.022755e+01   7.148157e+01
3.000000e+00   1.697122e+02   1.609015e+01   3.758389e+02   -6.437504e+00   3.656835e+01   -4.396381e+01   5.718445e+01
3.000000e+00   1.697106e+02   1.609123e+01   3.238994e+02   -6.276025e+00   3.084580e+01   -4.010647e+01   5.059636e+01
5.000000e+00   1.697067e+02   1.609678e+01   3.525694e+02   -6.368111e+00   1.704854e+01   -2.012526e+01   2.637573e+01
4.000000e+00   1.697030e+02   1.610185e+01   3.644995e+02   -6.404242e+00   3.556252e+00   -1.869647e+00   4.017774e+00
4.000000e+00   1.697003e+02   1.610596e+01   3.617626e+02   -6.396059e+00   -6.198874e+00   1.293325e+01   1.434207e+01
5.000000e+00   1.696970e+02   1.611728e+01   3.212151e+02   -6.266990e+00   -1.804240e+01   5.367444e+01   5.662574e+01
3.000000e+00   1.696955e+02   1.612027e+01   3.889507e+02   -6.474736e+00   -2.351421e+01   6.446257e+01   6.861735e+01
4.000000e+00   1.696935e+02   1.612583e+01   3.429968e+02   -6.338225e+00   -3.044293e+01   8.448334e+01   8.980093e+01
4.000000e+00   1.696919e+02   1.613017e+01   3.384939e+02   -6.323877e+00   -3.642141e+01   1.000835e+02   1.065046e+02
4.000000e+00   1.696906e+02   1.613435e+01   3.442881e+02   -6.342305e+00   -4.092989e+01   1.151305e+02   1.221896e+02
4.000000e+00   1.696870e+02   1.614310e+01   3.359960e+02   -6.315835e+00   -5.385158e+01   1.466286e+02   1.562048e+02
4.000000e+00   1.696849e+02   1.614776e+01   3.263844e+02   -6.284323e+00   -6.161065e+01   1.634296e+02   1.746572e+02
5.000000e+00   1.696832e+02   1.615230e+01   3.441888e+02   -6.341992e+00   -6.776214e+01   1.797528e+02   1.921009e+02
4.000000e+00   1.696819e+02   1.615961e+01   3.711638e+02   -6.423914e+00   -7.239984e+01   2.060938e+02   2.184409e+02
4.000000e+00   1.696789e+02   1.616700e+01   3.216301e+02   -6.268392e+00   -8.325463e+01   2.326735e+02   2.471200e+02
