#   ID    	RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec 
2.000000e+00   1.700872e+02   1.533558e+01   9.791138e+00   -2.477083e+00   0.000000e+00   0.000000e+00   0.000000e+00
2.000000e+00   1.701152e+02   1.530544e+01   1.110853e+01   -2.614142e+00   1.010302e+02   -1.085219e+02   1.482704e+02
2.000000e+00   1.701071e+02   1.531230e+01   1.078586e+01   -2.582137e+00   7.193773e+01   -8.380312e+01   1.104446e+02
2.000000e+00   1.701061e+02   1.531323e+01   7.869856e+00   -2.239917e+00   6.836742e+01   -8.047893e+01   1.055981e+02
2.000000e+00   1.701045e+02   1.531467e+01   9.092499e+00   -2.396708e+00   6.226355e+01   -7.528999e+01   9.770022e+01
2.000000e+00   1.701040e+02   1.531685e+01   8.302943e+00   -2.298080e+00   6.048392e+01   -6.745024e+01   9.059713e+01
2.000000e+00   1.701035e+02   1.531926e+01   9.569626e+00   -2.452237e+00   5.890289e+01   -5.876277e+01   8.320224e+01
2.000000e+00   1.701014e+02   1.532076e+01   1.024479e+01   -2.526258e+00   5.134275e+01   -5.335696e+01   7.404757e+01
2.000000e+00   1.700990e+02   1.532163e+01   9.156833e+00   -2.404363e+00   4.266017e+01   -5.024287e+01   6.591082e+01
2.000000e+00   1.700971e+02   1.532225e+01   1.041001e+01   -2.543628e+00   3.588588e+01   -4.799875e+01   5.993060e+01
2.000000e+00   1.700957e+02   1.532377e+01   8.090116e+00   -2.269887e+00   3.092510e+01   -4.253076e+01   5.258543e+01
2.000000e+00   1.700941e+02   1.532602e+01   8.807434e+00   -2.362123e+00   2.483462e+01   -3.444063e+01   4.246075e+01
2.000000e+00   1.700920e+02   1.532964e+01   8.534724e+00   -2.327974e+00   1.727431e+01   -2.139468e+01   2.749790e+01
2.000000e+00   1.700906e+02   1.533379e+01   8.615892e+00   -2.338251e+00   1.224530e+01   -6.444583e+00   1.383763e+01
2.000000e+00   1.700886e+02   1.533476e+01   1.057124e+01   -2.560314e+00   5.012558e+00   -2.965485e+00   5.824074e+00
2.000000e+00   1.700857e+02   1.533919e+01   8.753116e+00   -2.355407e+00   -5.325016e+00   1.298193e+01   1.403162e+01
2.000000e+00   1.700837e+02   1.534526e+01   8.345102e+00   -2.303579e+00   -1.245175e+01   3.485449e+01   3.701191e+01
2.000000e+00   1.700821e+02   1.535020e+01   8.978471e+00   -2.383006e+00   -1.804311e+01   5.261114e+01   5.561912e+01
2.000000e+00   1.700807e+02   1.535430e+01   9.243599e+00   -2.414603e+00   -2.321455e+01   6.739249e+01   7.127877e+01
2.000000e+00   1.700793e+02   1.535982e+01   8.920296e+00   -2.375948e+00   -2.833791e+01   8.726299e+01   9.174893e+01
2.000000e+00   1.700775e+02   1.536382e+01   8.423778e+00   -2.313767e+00   -3.488651e+01   1.016405e+02   1.074609e+02
2.000000e+00   1.700762e+02   1.536810e+01   8.334249e+00   -2.302166e+00   -3.960577e+01   1.170509e+02   1.235699e+02
2.000000e+00   1.700742e+02   1.537275e+01   9.694016e+00   -2.466259e+00   -4.671647e+01   1.337983e+02   1.417195e+02
2.000000e+00   1.700729e+02   1.537671e+01   9.740312e+00   -2.471432e+00   -5.127047e+01   1.480714e+02   1.566965e+02
2.000000e+00   1.700707e+02   1.538147e+01   9.084207e+00   -2.395717e+00   -5.910154e+01   1.651753e+02   1.754305e+02
3.000000e+00   1.700693e+02   1.538625e+01   8.155734e+00   -2.278658e+00   -6.429354e+01   1.823851e+02   1.933856e+02
2.000000e+00   1.700680e+02   1.539300e+01   8.560745e+00   -2.331279e+00   -6.912838e+01   2.067148e+02   2.179673e+02
2.000000e+00   1.700651e+02   1.540131e+01   8.897311e+00   -2.373147e+00   -7.948717e+01   2.366209e+02   2.496150e+02
3.000000e+00   1.700646e+02   1.540735e+01   9.300100e+00   -2.421219e+00   -8.105621e+01   2.583432e+02   2.707606e+02
