#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
5.000000e+00   6.422051e+02   1.589932e+01   3.777276e+01   2.723257e+01   1.015873e+01   -2.517098e+00   -2.793514e-01   -8.637807e-01   9.078295e-01
5.000000e+00   6.421340e+02   1.628361e+01   3.777279e+01   2.723254e+01   9.480027e+00   -2.442024e+00   -1.540533e-01   -9.715707e-01   9.837083e-01
5.000000e+00   6.420547e+02   1.686107e+01   3.777270e+01   2.723253e+01   1.073544e+01   -2.577050e+00   -4.767606e-01   -9.981130e-01   1.106133e+00
5.000000e+00   6.420253e+02   1.700664e+01   3.777282e+01   2.723260e+01   1.051188e+01   -2.554201e+00   -6.305205e-02   -7.360218e-01   7.387175e-01
5.000000e+00   6.420469e+02   1.734605e+01   3.777287e+01   2.723263e+01   9.049931e+00   -2.391613e+00   1.435453e-01   -6.320531e-01   6.481484e-01
5.000000e+00   6.419742e+02   1.753736e+01   3.777287e+01   2.723268e+01   9.610038e+00   -2.456813e+00   1.181292e-01   -4.583928e-01   4.733693e-01
5.000000e+00   6.419970e+02   1.773429e+01   3.777269e+01   2.723262e+01   1.073898e+01   -2.577408e+00   -5.070140e-01   -6.786586e-01   8.471367e-01
5.000000e+00   6.419847e+02   1.794279e+01   3.777280e+01   2.723268e+01   1.046646e+01   -2.549500e+00   -1.429610e-01   -4.792645e-01   5.001323e-01
5.000000e+00   6.419622e+02   1.815440e+01   3.777291e+01   2.723272e+01   9.644903e+00   -2.460745e+00   2.633529e-01   -3.252099e-01   4.184689e-01
6.000000e+00   6.417034e+02   1.880642e+01   3.777283e+01   2.723281e+01   8.810745e+00   -2.362532e+00   0.000000e+00   0.000000e+00   0.000000e+00
