#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
7.200000e+01   5.370362e+02   4.303925e+02   3.695069e+01   2.732259e+01   2.648002e+01   -3.557296e+00   4.511178e-02   -3.705776e-01   3.733133e-01
7.300000e+01   5.369702e+02   4.309326e+02   3.695055e+01   2.732263e+01   3.007606e+01   -3.695552e+00   -4.569039e-01   -2.278755e-01   5.105765e-01
7.200000e+01   5.368839e+02   4.312921e+02   3.695075e+01   2.732252e+01   2.604039e+01   -3.539119e+00   2.470098e-01   -6.115156e-01   6.595189e-01
7.300000e+01   5.368299e+02   4.316884e+02   3.695057e+01   2.732265e+01   2.574529e+01   -3.526744e+00   -4.081315e-01   -1.734763e-01   4.434697e-01
7.500000e+01   5.368123e+02   4.319632e+02   3.695057e+01   2.732266e+01   2.845508e+01   -3.635399e+00   -3.804734e-01   -1.311642e-01   4.024476e-01
7.500000e+01   5.367303e+02   4.320884e+02   3.695072e+01   2.732268e+01   2.692108e+01   -3.575231e+00   1.571273e-01   -3.344270e-02   1.606469e-01
7.000000e+01   5.367934e+02   4.321877e+02   3.695069e+01   2.732264e+01   2.689827e+01   -3.574311e+00   4.943376e-02   -1.840612e-01   1.905839e-01
7.600000e+01   5.367332e+02   4.325201e+02   3.695063e+01   2.732270e+01   2.337656e+01   -3.421951e+00   -1.662400e-01   2.234911e-02   1.677355e-01
7.300000e+01   5.366678e+02   4.328819e+02   3.695041e+01   2.732277e+01   2.653663e+01   -3.559614e+00   -9.540441e-01   2.743786e-01   9.927153e-01
7.300000e+01   5.363793e+02   4.332977e+02   3.695068e+01   2.732269e+01   2.376002e+01   -3.439617e+00   0.000000e+00   0.000000e+00   0.000000e+00
