#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra in arces  dev_dec in arcsec  RMS in arcsec
6.700000e+01   4.203663e+02   3.932396e+02   3.693406e+01   2.707915e+01   1.854474e+00   -6.705521e-01   -8.917992e-01   -2.123072e+00   2.302768e+00
6.800000e+01   4.203487e+02   3.938433e+02   3.693387e+01   2.707935e+01   1.762381e+00   -6.152497e-01   -1.603677e+00   -1.380297e+00   2.115893e+00
6.700000e+01   4.201926e+02   3.940861e+02   3.693422e+01   2.707904e+01   1.868310e+00   -6.786224e-01   -3.344015e-01   -2.490255e+00   2.512607e+00
6.800000e+01   4.201436e+02   3.942638e+02   3.693444e+01   2.707905e+01   1.851424e+00   -6.687648e-01   4.798794e-01   -2.484362e+00   2.530284e+00
7.000000e+01   4.201679e+02   3.948018e+02   3.693401e+01   2.707930e+01   1.993040e+00   -7.487901e-01   -1.076581e+00   -1.581041e+00   1.912777e+00
7.000000e+01   4.200916e+02   3.948893e+02   3.693422e+01   2.707931e+01   2.172101e+00   -8.422002e-01   -3.351484e-01   -1.513824e+00   1.550480e+00
6.500000e+01   4.201956e+02   3.950479e+02   3.693411e+01   2.707941e+01   2.031979e+00   -7.697979e-01   -7.412951e-01   -1.159662e+00   1.376349e+00
7.100000e+01   4.201486e+02   3.952241e+02   3.693435e+01   2.707939e+01   1.871991e+00   -6.807596e-01   1.281025e-01   -1.240557e+00   1.247153e+00
6.800000e+01   4.201398e+02   3.955891e+02   3.693418e+01   2.707953e+01   1.977707e+00   -7.404047e-01   -4.811775e-01   -7.418081e-01   8.842008e-01
6.800000e+01   4.199638e+02   3.961127e+02   3.693431e+01   2.707974e+01   2.043629e+00   -7.760050e-01   0.000000e+00   0.000000e+00   0.000000e+00
