#   ID    	xpos      ypos        RA/deg	      DEC/deg	     flux	     mag 	  dev_ra/arcsec  dev_dec/arcsec  RMS/arcsec
8.500000e+01   1.654849e+02   5.676686e+02   3.643726e+01   2.672387e+01   1.185999e+00   -1.852106e-01   -2.152928e-01   -1.818894e+00   1.831591e+00
8.900000e+01   1.653320e+02   5.680297e+02   3.643750e+01   2.672368e+01   1.326046e+00   -3.063966e-01   6.385675e-01   -2.489684e+00   2.570271e+00
8.700000e+01   1.651216e+02   5.685896e+02   3.643718e+01   2.672355e+01   1.312502e+00   -2.952500e-01   -5.192416e-01   -2.988619e+00   3.033390e+00
9.100000e+01   1.650920e+02   5.689128e+02   3.643727e+01   2.672368e+01   1.547207e+00   -4.738710e-01   -1.782595e-01   -2.522133e+00   2.528425e+00
8.700000e+01   1.650692e+02   5.690844e+02   3.643740e+01   2.672361e+01   1.724092e+00   -5.914013e-01   2.611487e-01   -2.765376e+00   2.777679e+00
8.900000e+01   1.651998e+02   5.692234e+02   3.643766e+01   2.672408e+01   1.395844e+00   -3.620923e-01   1.200634e+00   -1.051507e+00   1.595991e+00
8.700000e+01   1.651316e+02   5.693919e+02   3.643736e+01   2.672391e+01   1.369706e+00   -3.415687e-01   1.281189e-01   -1.667972e+00   1.672885e+00
8.900000e+01   1.650404e+02   5.697927e+02   3.643724e+01   2.672397e+01   1.491429e+00   -4.340064e-01   -3.112475e-01   -1.453650e+00   1.486598e+00
8.900000e+01   1.650358e+02   5.700289e+02   3.643731e+01   2.672397e+01   1.673978e+00   -5.593744e-01   -4.752876e-02   -1.476651e+00   1.477416e+00
8.900000e+01   1.649334e+02   5.706113e+02   3.643732e+01   2.672438e+01   1.388927e+00   -3.566983e-01   0.000000e+00   0.000000e+00   0.000000e+00
