id peak flux mag RA DEC
145 2060.0 2.8383029007843974 -1.1326468526447557 45.32836357608561 51.00184660740736
137 983.0 1.5325069673481546 -0.46350614414901686 45.3512537770323 50.85882896878542
129 814.0 1.0941485416016008 -0.09769071454270106 45.358480041818865 50.71624726598053
132 749.0 1.0073874232692488 -0.007991311512537822 45.36483701131149 50.77982275322895
144 713.0 1.250123365133502 -0.2423821808263603 45.376801764374385 51.074647196391616
146 660.0 1.1207408830737429 -0.12376303670790227 45.414766705798854 51.22533692393336
147 734.0 1.1895941560025973 -0.18849705501276576 45.41517544610269 51.2790395143834
123 705.0 1.278652928180993 -0.26688169381803306 45.41652956384696 50.77979800939357
149 1934.0 2.621700233657596 -1.0464575819331288 45.43043568998049 51.367736356396186
150 1727.0 2.520576901332097 -1.0037498801195153 45.440214214907655 51.423775181907736
119 1705.0 2.541252054901135 -1.0126193570609954 45.44172542040565 50.78868042823944
112 2136.0 3.3455542027694536 -1.3111701761625862 45.44506198585955 50.69246285163672
117 807.0 1.2000723403724953 -0.19801856528086467 45.473826534547015 50.84717781645306
143 1027.0 1.5674951002889808 -0.488015479943832 45.48725660327524 51.32655373859726
140 1020.0 1.5928484863645986 -0.5054361679001158 45.49532131139274 51.308074683754626
135 1453.0 2.2050338080134417 -0.8585381313589889 45.49581930145699 51.146843457011045
151 5245.0 9.05507355520188 -2.3922299561968514 45.4999648651402 51.607041463372994
134 1441.0 2.172887948539819 -0.8425933280130471 45.53343654244732 51.238868188712125
139 1176.0 1.7378803839548222 -0.6000497030432652 45.53347414541742 51.37212779201979
148 763.0 1.2572374433382314 -0.24854326699379675 45.54011587108955 51.64191050306
125 1282.0 2.409044574911673 -0.9546120897209227 45.551475070049975 51.179062418354675
95 910.0 1.1606133725867416 -0.16171892549539726 45.568288995850395 50.73394167368149
120 910.0 1.4108963883339884 -0.3737378043592537 45.570573994848154 51.12508422138796
130 915.0 1.3597916703256605 -0.3336809412225256 45.57318573919088 51.2715208258113
126 742.0 1.0635650916662451 -0.06691018619959839 45.59062860085712 51.28851866638894
110 910.0 1.2748600570626518 -0.263656285883559 45.59504735385712 51.02745694892092
86 4817.0 7.222479739665163 -2.14671583061251 45.6167603612832 50.65269074499006
97 802.0 1.3348354140918437 -0.313569300659324 45.6187427005111 50.876690529374414
133 1268.0 2.0588353901375713 -0.7840540622557073 45.619443653483394 51.45707371458945
90 5037.0 7.306925109053753 -2.1593366403722882 45.621192137488364 50.78562865478077
138 712.0 1.0616345962332299 -0.06493765686676102 45.62289316079025 51.57134327792302
88 3554.0 5.2923006126501395 -1.8091112624031744 45.63109620826706 50.715927965336206
142 3058.0 4.498063058334656 -1.6325638487888383 45.638367164322695 51.70571219771596
101 881.0 1.2711918699902365 -0.2605277666073605 45.649174575823025 50.98037799605242
103 1713.0 2.432288114673664 -0.9650375441022269 45.65196409104578 51.01417795969877
114 950.0 1.5494886012131566 -0.4754709642674973 45.65591236688642 51.24948923484875
128 1129.0 1.6254251773632937 -0.5274174564103415 45.660696151493454 51.48657025439509
127 745.0 1.2061352186689807 -0.2034899971842104 45.66192522499251 51.47747362549629
91 1682.0 2.4308358095521685 -0.9643890636924293 45.680647808041144 50.95141071928014
122 2051.0 3.404583658398578 -1.3301600256327095 45.71812545974935 51.54263763843212
116 1115.0 1.825210522657951 -0.6532824097287521 45.72171536584517 51.47544261438986
111 655.0 1.0386661786672287 -0.041189975587800735 45.73409422921792 51.40679627823475
80 1589.0 2.688990744822848 -1.0739732685935055 45.73930801421725 50.89767943581001
104 862.0 1.466042917604764 -0.41536671056171787 45.740060821171895 51.27415369196425
121 1090.0 1.6290088678968155 -0.5298086212503563 45.74108293684894 51.57815498065776
131 795.0 1.2083268132131675 -0.2054610318617907 45.742488968680505 51.7298141198256
141 794.0 1.2661119939945593 -0.25618030729699237 45.74731520217926 51.973135309706706
106 1348.0 1.9447162665988056 -0.7221406171887754 45.76938517329979 51.38852820202153
59 740.0 1.0734088401556183 -0.07691291909310659 45.77026057783071 50.541571211689394
107 11450.0 21.1878349483848 -3.315216452889773 45.7751514364335 51.43868105401754
115 1192.0 1.691337421513186 -0.5705756447821988 45.77965869356266 51.60152632219389
85 2704.0 4.188729248350988 -1.555205723207108 45.7866028691719 51.086316931637214
136 1614.0 2.427646015531613 -0.9629634021478833 45.787022747405004 51.915306998776465
93 1873.0 2.836661707562893 -1.1320188653101222 45.787244245165596 51.26173261686893
66 698.0 1.0265610776631386 -0.028461984614672885 45.789720060452396 50.67858878111675
109 1468.0 2.188377247817906 -0.8503054771095617 45.79079275256309 51.502791956182506
118 951.0 1.7277520055120117 -0.5937035143865482 45.80477448567945 51.703946031322815
60 1034.0 1.5859311269628031 -0.5007108076596984 45.82403889529806 50.685549468030736
89 736.0 1.134624129742833 -0.1371300383738631 45.831657355240644 51.30624711444581
105 3074.0 4.843379944025089 -1.712871347673783 45.8364359863268 51.54713319498173
92 1365.0 2.1693187958142977 -0.8408084479116223 45.84084684981806 51.373787828626725
113 1096.0 1.681578082958341 -0.564292595734737 45.857572116539586 51.766601545388156
102 1206.0 1.889139118297412 -0.6906598525655787 45.859065842004306 51.53802330422317
52 1146.0 1.4997398337534011 -0.44003981669748726 45.877191686197044 50.698858009595156
87 1642.0 2.43733662247463 -0.9672887851974663 45.88059310762312 51.35386138575989
77 629.0 1.1484527807452218 -0.1502828591163292 45.881565580854456 51.199329743582844
124 6759.0 9.677925486983728 -2.464455685081344 45.88255347109278 52.032801731465064
