['id', 'xcentroid', 'ycentroid', 'sharpness', 'roundness1', 'roundness2', 'npix', 'sky', 'peak', 'flux', 'mag']
 (208, 6.22340183e+01, 4.01822635e+02, 0.97034644,  2.54289999e-02, -3.97042487e-01, 25, 0.,   363.,  1.13699368, -0.13939513)
 (209, 4.85143127e+02, 4.04470827e+02, 0.76448616,  4.08458981e-01,  2.66395826e-01, 25, 0.,  3074.,  9.68675989, -2.46544634)
 (210, 3.99020675e+02, 4.07218816e+02, 0.91978404,  2.58196683e-02,  3.61119342e-02, 25, 0.,  1348.,  3.88943253, -1.47471561)
 (211, 4.16166921e+02, 4.06827129e+02, 0.92142434,  5.16634126e-02,  8.93021079e-02, 25, 0.,   672.,  1.92827365, -0.71292167)
 (212, 5.38960566e+02, 4.08010409e+02, 0.75610014, -1.91646109e-02, -2.34431843e-03, 25, 0.,   447.,  1.48941609, -0.43254011)
 (213, 5.21164875e+02, 4.08825311e+02, 0.96498328,  1.09351728e-01,  2.51845056e-03, 25, 0.,   687.,  1.7938325 , -0.63445472)
 (214, 3.99591907e+01, 4.10037151e+02, 0.86796593,  1.36392099e-01,  2.57850326e-01, 25, 0.,   504.,  1.37347421, -0.34455128)
 (215, 1.12182514e+01, 4.11624651e+02, 0.81310811, -4.69523118e-01, -1.55916036e-01, 25, 0.,   636.,  1.74287779, -0.60316734)
 (216, 4.23465675e+02, 4.13812006e+02, 0.56444676,  1.65049290e-01, -1.63785973e-01, 25, 0., 11450., 42.3756699 , -4.06779144)
 (217, 6.59853873e+02, 4.14608017e+02, 0.72689347,  5.08787676e-01,  1.64421674e-01, 25, 0.,  1543.,  4.84234477, -1.71263927)
 (218, 4.54486064e+02, 4.15901954e+02, 0.56806183,  8.47095172e-01,  1.34429209e-01, 25, 0.,   361.,  1.2475851 , -0.24017545)
 (219, 2.24348282e+02, 4.16979905e+02, 0.83599264,  6.24302381e-02,  2.53688973e-01, 25, 0.,   352.,  1.07665659, -0.080193  )
 (220, 3.42155163e+02, 4.18160097e+02, 0.85047393, -2.13596366e-01, -1.05447168e-01, 25, 0.,   433.,  1.24810525, -0.24062802)
 (221, 4.56207698e+02, 4.18242118e+02, 0.8640999 ,  3.05858357e-01,  4.78223227e-02, 25, 0.,  1468.,  4.3767545 , -1.60288047)
 (222, 1.99040911e+02, 4.23961972e+02, 0.96747864,  1.95989237e-01, -1.42356302e-02, 25, 0.,   910.,  2.54972011, -1.01623128)
 (223, 4.01171285e+02, 4.27696198e+02, 0.78064698,  4.93423839e-02,  9.89066402e-02, 25, 0.,   655.,  2.07733236, -0.79376496)
 (224, 2.15048723e+02, 4.30026295e+02, 0.78847489,  5.03530588e-01,  2.49969535e-01, 25, 0.,   415.,  1.41359139, -0.37580972)
 (225, 9.01774650e+01, 4.31758227e+02, 0.86383505,  5.83280549e-01,  2.27232950e-01, 25, 0.,   379.,  1.10099068, -0.1044591 )
 (226, 5.39712932e+02, 4.31744738e+02, 0.69400135,  2.93523217e-01,  5.85773684e-03, 25, 0.,   481.,  1.59503723, -0.50692706)
 (227, 6.62580919e+02, 4.33132546e+02, 0.70045404,  2.31650129e-01, -5.93944492e-01, 25, 0.,   276.,  1.03654922, -0.03897483)
 (228, 1.56283158e+01, 4.33810130e+02, 0.7051214 ,  7.50704827e-02, -7.35160721e-02, 25, 0.,  2136.,  6.69110841, -2.06374517)
 (229, 4.11025582e+02, 4.34601046e+02, 0.64351256,  4.32337074e-01,  2.06868798e-01, 25, 0.,   502.,  1.7990208 , -0.63759046)
 (230, 5.91374212e+02, 4.35303129e+02, 0.78248555,  5.35035241e-01,  7.56695257e-02, 25, 0.,  1096.,  3.36315617, -1.31686758)
 (231, 3.13644078e+02, 4.36067969e+02, 0.67606093, -6.80419882e-01, -9.70847143e-02, 25, 0.,   950.,  3.0989772 , -1.22804595)
 (232, 3.69001997e+02, 4.37325258e+02, 0.73445682,  1.46734182e-01, -7.59170141e-02, 25, 0.,   296.,  1.04045827, -0.04306166)
 (233, 5.00270515e+02, 4.42092147e+02, 0.93580264,  1.22463441e-01, -1.38310441e-01, 25, 0.,  1192.,  3.38267484, -1.32315063)
 (234, 6.06195745e+02, 4.44070166e+02, 0.71646179, -1.51541493e-01,  2.55663951e-01, 25, 0.,   349.,  1.21555412, -0.21193575)
 (235, 6.33500408e+02, 4.43929639e+02, 0.64195796,  1.61643461e-03, -3.02767186e-01, 25, 0.,   501.,  1.78003668, -0.62607238)
 (236, 7.27231518e+02, 4.44415088e+02, 0.65870901, -4.95607809e-01, -2.19944830e-01, 25, 0.,   273.,  1.03160358, -0.0337821 )
 (237, 2.90306378e+02, 4.46450994e+02, 0.80629666,  3.82483022e-02,  1.28349566e-01, 25, 0.,   314.,  1.01165589, -0.01258203)
 (238, 3.46729688e+02, 4.46779768e+02, 0.90221783, -3.35151067e-01, -3.56901363e-01, 25, 0.,   354.,  1.08212242, -0.08569099)
 (239, 4.30968874e+02, 4.46520241e+02, 0.71190746,  3.26668008e-01,  2.05485776e-01, 25, 0.,  1115.,  3.65042105, -1.4058574 )
 (240, 5.47059782e+02, 4.46943150e+02, 0.78267846,  4.73937554e-01,  2.04771325e-01, 25, 0.,   358.,  1.05964862, -0.0629047 )
 (241, 3.69160911e+02, 4.48014715e+02, 0.89884117, -4.37748865e-01, -1.82473629e-01, 25, 0.,   363.,  1.06483819, -0.06820905)
 (242, 9.30204324e+01, 4.48843014e+02, 0.8663332 , -3.37528896e-01,  1.28591293e-02, 25, 0.,   807.,  2.40014468, -0.95059355)
 (243, 5.52600346e+02, 4.49107468e+02, 0.59991714,  4.02691258e-02, -2.10819508e-02, 25, 0.,   951.,  3.45550401, -1.3462785 )
 (244, 3.28305511e+02, 4.52330947e+02, 0.92985598, -6.26142088e-01, -5.47523745e-02, 25, 0.,   487.,  1.44630786, -0.40065186)
 (245, 5.99250334e+01, 4.53419921e+02, 0.80100543, -1.40743545e-01,  5.57375945e-02, 25, 0.,  1705.,  5.08250411, -1.76519435)
 (246, 2.17918163e+02, 4.53879596e+02, 0.81766269,  8.21562110e-02, -1.53462572e-01, 25, 0.,   462.,  1.53448677, -0.46490787)
 (247, 2.40177831e+02, 4.54053456e+02, 0.8199779 ,  2.29474994e-02, -1.11612107e-01, 25, 0.,   910.,  2.82179278, -1.12631279)
 (248, 2.96697257e+02, 4.55775440e+02, 0.62977145, -3.40930123e-01,  3.50631957e-01, 25, 0.,   420.,  1.48597988, -0.43003232)
 (249, 4.82397056e+02, 4.56369126e+02, 0.78748497,  1.73321327e-01, -2.71192068e-03, 25, 0.,  1090.,  3.25801774, -1.28238361)
 (250, 4.51587195e+01, 4.58215956e+02, 0.90387395, -3.77724279e-01, -3.89409773e-01, 25, 0.,   372.,  1.14150467, -0.14369423)
 (251, 6.71787640e+02, 4.58728322e+02, 0.47890484, -3.03219882e-01,  5.92698802e-02, 25, 0.,   373.,  1.25479534, -0.24643224)
 (252, 4.95937769e+02, 4.60772375e+02, 0.45736277,  4.54599496e-01,  6.40244588e-01, 25, 0.,   265.,  1.24550077, -0.23836   )
 (253, 4.61676635e+02, 4.60824040e+02, 0.68644868,  1.70034342e-01, -8.62150578e-02, 25, 0.,  2051.,  6.80916732, -2.08273501)
 (254, 5.12293542e+01, 4.63938793e+02, 0.63279325, -4.12475446e-01, -2.57625917e-01, 25, 0.,   705.,  2.55730586, -1.01945668)
 (255, 5.36995820e+02, 4.66334038e+02, 0.71004625,  3.97306580e-01,  5.18281746e-01, 25, 0.,   409.,  1.47569482, -0.42249138)
 (256, 4.38759152e+02, 4.73293360e+02, 0.85238017, -5.07836014e-01,  8.87122489e-03, 25, 0.,   655.,  1.88955894, -0.69090111)
 (257, 7.20106933e+02, 4.73017419e+02, 0.89114833,  1.29158139e-01,  8.63177763e-03, 25, 0.,  6759., 19.35585097, -3.21703067)
 (258, 2.61916877e+02, 4.73382562e+02, 0.57080239,  5.36544919e-01,  4.19336572e-01, 25, 0.,  1282.,  4.81808915, -1.70718708)
 (259, 3.20065693e+02, 4.74927847e+02, 0.94514776,  8.96033006e-02, -2.79985062e-02, 25, 0.,   742.,  2.12713018, -0.81948518)
 (260, 4.21117631e+02, 4.75804080e+02, 0.76063329, -6.10293784e-01,  2.01277641e-01, 25, 0.,   745.,  2.41227044, -0.95606499)
 (261, 4.25140529e+02, 4.78099702e+02, 0.89652616, -1.05432049e-01,  2.26363430e-02, 25, 0.,  1129.,  3.25085035, -1.27999245)
 (262, 1.10891634e+01, 4.80114573e+02, 0.89314216, -4.24785203e-01, -1.61129823e-01, 25, 0.,   814.,  2.18829708, -0.8502657 )
 (263, 3.08983309e+02, 4.80180808e+02, 0.89361498,  6.76930316e-04,  1.95465529e-02, 25, 0.,   915.,  2.71958334, -1.08625593)
 (264, 2.05114745e+02, 4.82391838e+02, 0.4257104 ,  4.90158871e-01,  4.50955712e-01, 25, 0.,   300.,  1.50729902, -0.44549854)
 (265, 3.55430518e+01, 4.83671343e+02, 0.5892611 ,  4.34345752e-01,  3.61200176e-02, 25, 0.,   400.,  1.52925158, -0.46119734)
 (266, 5.53421829e+02, 4.84056186e+02, 0.82190844, -8.89639334e-02,  1.35960472e-02, 25, 0.,   795.,  2.41665363, -0.95803602)
 (267, 4.19044456e+01, 4.88932810e+02, 0.93274875, -1.81627211e-01, -2.69867740e-01, 25, 0.,   749.,  2.01477485, -0.7605663 )
 (268, 2.08223756e+02, 4.89223513e+02, 0.66707665,  4.79516745e-01, -2.79889315e-02, 25, 0.,   323.,  1.15579876, -0.15720556)
 (269, 5.90225144e+02, 4.90651180e+02, 0.71555102,  6.12581203e-01,  4.37356628e-01, 25, 0.,   523.,  1.77624052, -0.62375443)
 (270, 2.52059755e+02, 4.92062109e+02, 0.94009567, -6.00241844e-01, -5.03662532e-01, 25, 0.,   370.,  1.07711017, -0.08065031)
 (271, 4.03925323e+02, 4.92525005e+02, 0.75286755,  3.71056569e-01,  2.80828226e-01, 25, 0.,  1268.,  4.11767078, -1.53662905)
 (272, 2.86566849e+02, 4.93289055e+02, 0.65546207, -7.72657591e-01,  1.82649242e-02, 25, 0.,  1441.,  4.3457759 , -1.59516832)
 (273, 2.36829821e+02, 4.94261534e+02, 0.78681853, -1.00513768e-01,  1.52411244e-01, 25, 0.,  1453.,  4.41006762, -1.61111312)
 (274, 5.73717280e+02, 4.95187337e+02, 0.77246161,  4.12910623e-01, -6.66051900e-02, 25, 0.,   540.,  1.68110927, -0.56398986)
 (275, 1.44512594e+02, 4.96696654e+02, 0.58390341, -5.38869469e-01,  4.46798166e-02, 25, 0.,   523.,  1.8061999 , -0.64191454)
 (276, 5.97454962e+02, 4.96113329e+02, 0.83225882,  2.40313430e-01, -1.02075442e-02, 25, 0.,   437.,  1.30448036, -0.28859386)
 (277, 6.48024434e+02, 4.97222646e+02, 0.83919375,  1.31081809e-01,  7.19020332e-02, 25, 0.,  1614.,  4.85529203, -1.71553839)
 (278, 5.74812878e+02, 4.97864818e+02, 0.70076001,  6.99534853e-01,  8.06656112e-01, 25, 0.,   422.,  1.45586207, -0.40780058)
 (279, 2.00280536e+02, 4.98969407e+02, 0.69366981,  5.48594803e-01, -2.97804182e-01, 25, 0.,   302.,  1.14256369, -0.14470105)
 (280, 1.06874152e+02, 5.01918885e+02, 0.96634432, -3.79263407e-01,  3.61981895e-02, 25, 0.,   639.,  1.69718423, -0.57432247)
 (281, 1.24091787e+02, 5.03081209e+02, 0.93745569, -2.18960598e-01, -2.63643146e-01, 25, 0.,   443.,  1.30475269, -0.2888205 )
 (282, 7.63188823e+01, 5.10276816e+02, 0.76314286, -9.31780496e-02, -1.22460798e-02, 25, 0.,   983.,  3.06501393, -1.21608113)
 (283, 4.65970867e+02, 5.09858848e+02, 0.71532704,  4.21752030e-02, -2.72632394e-01, 25, 0.,   387.,  1.35124744, -0.32683721)
 (284, 4.57871558e+02, 5.12230746e+02, 0.83321274,  8.70894154e-02,  1.93905263e-01, 25, 0.,   712.,  2.12326919, -0.81751265)
