['id', 'xcentroid', 'ycentroid', 'sharpness', 'roundness1', 'roundness2', 'npix', 'sky', 'peak', 'flux', 'mag']
 ( 24, 3.49903865e+02, 4.33104432e+01, 0.79600589,  9.79739462e-02,  1.68395731e-01, 25, 0.,  1860.,  5.54671032, -1.86008871)
 ( 25, 5.13037005e+02, 4.52118521e+01, 0.93590561,  5.16778445e-02,  1.33445371e-01, 25, 0.,  3301.,  8.82398451, -2.36416184)
 ( 26, 7.50153861e+02, 4.46565670e+01, 0.60870567, -5.95525171e-01,  2.25317928e-01, 25, 0.,   340.,  1.22603804, -0.22125986)
 ( 27, 1.69901956e+02, 4.66615038e+01, 0.84710349, -9.14272247e-02,  2.60832356e-01, 25, 0.,   535.,  1.51125721, -0.44834597)
 ( 28, 3.78396011e+02, 4.71201450e+01, 0.79498103,  1.42666270e-01, -7.93564558e-02, 25, 0.,  7221., 21.5686614 , -3.33455798)
 ( 29, 7.08851955e+02, 4.89942447e+01, 0.93492969, -1.57306821e-01, -9.66729518e-02, 25, 0.,  2108.,  5.60959637, -1.87232903)
 ( 30, 6.89910571e-01, 4.97167414e+01, 0.82837733, -5.42665495e-01,  1.21340491e-01, 25, 0.,   574.,  1.66251699, -0.55191523)
 ( 31, 4.24717800e+02, 5.06516253e+01, 0.88961327, -1.39786480e-01, -7.23056979e-02, 25, 0.,   393.,  1.03421943, -0.03653173)
 ( 32, 3.24040997e+02, 5.58807410e+01, 0.8162304 ,  5.06607206e-01,  3.03009927e-01, 25, 0.,   349.,  1.04572002, -0.04853856)
 ( 33, 2.79921148e+02, 6.18461173e+01, 0.90231655, -2.70852367e-02, -6.85803624e-02, 25, 0.,   706.,  2.03757031, -0.77278151)
 ( 34, 4.36046056e+02, 6.22868387e+01, 0.9313158 ,  1.13721705e-01,  9.48944953e-02, 25, 0.,   511.,  1.37573394, -0.34633613)
 ( 35, 3.36874980e+02, 6.38608008e+01, 0.88179035,  1.87617730e-01,  6.00358250e-02, 25, 0.,  6412., 18.60968862, -3.17434777)
 ( 36, 4.57953758e+02, 6.52753754e+01, 0.76613127,  2.44416401e-01,  3.20075636e-01, 25, 0.,   332.,  1.07567297, -0.07920064)
 ( 37, 5.29870514e+02, 6.53412287e+01, 0.91518866,  1.50733285e-01,  4.78150489e-01, 25, 0.,   386.,  1.01192403, -0.01286978)
 ( 38, 7.49260724e+02, 6.56293190e+01, 0.84371216,  3.85473333e-01,  1.72070637e-01, 25, 0.,   478.,  1.33257249, -0.31172711)
 ( 39, 6.55543720e+02, 7.50868382e+01, 0.77129528,  3.22508321e-01, -2.71394873e-01, 25, 0.,   398.,  1.17855597, -0.17837553)
 ( 40, 1.62204435e+02, 7.67366415e+01, 0.77769289,  1.34456790e-01,  1.48742997e-02, 25, 0.,  5417., 16.4627507 , -3.041256  )
 ( 41, 4.24956032e+02, 7.76366705e+01, 0.80006461,  2.93020913e-01,  2.29471512e-01, 25, 0.,  5719., 17.36825605, -3.09939053)
 ( 42, 1.05457736e+02, 8.47559882e+01, 0.70811995, -4.34601477e-01, -1.16331044e-01, 25, 0., 10709., 33.30793381, -3.80636923)
 ( 43, 6.86165150e+02, 9.73054006e+01, 0.59680257, -6.83537615e-01,  2.18967444e-02, 25, 0.,   354.,  1.15182609, -0.15346728)
 ( 44, 1.08167305e+01, 1.00977488e+02, 0.37034875,  6.48208849e-01,  4.18623443e-01, 25, 0.,   283.,  1.09805812, -0.10156332)
 ( 45, 1.59547081e+02, 1.00722083e+02, 0.6596127 ,  1.20463623e-01, -1.56854837e-01, 25, 0.,   701.,  2.37003536, -0.93688706)
 ( 46, 6.57802987e+02, 1.03056912e+02, 0.86593278, -5.15528106e-02, -5.24375983e-02, 25, 0.,  5007., 14.08331249, -2.87176204)
 ( 47, 9.78451065e+01, 1.04669345e+02, 0.92104772,  1.37604169e-01, -2.76046498e-01, 25, 0.,   408.,  1.0908234 , -0.09438612)
 ( 48, 2.99093346e+02, 1.04980976e+02, 0.9043825 ,  1.22194874e-01,  2.65079692e-02, 25, 0., 14087., 40.23597753, -4.01153639)
 ( 49, 2.67690805e+02, 1.05788575e+02, 0.75596588,  4.96493746e-01, -7.68347134e-03, 25, 0.,  2025.,  6.26020542, -1.99147146)
 ( 50, 1.16043577e+02, 1.12247978e+02, 0.84904207,  2.76525921e-01,  8.06102411e-02, 25, 0.,  5026., 14.28917688, -2.88751803)
 ( 51, 6.32802766e+02, 1.11972347e+02, 0.81853194, -1.03414147e-01, -6.69602906e-02, 25, 0.,  1049.,  3.24331132, -1.27747159)
 ( 52, 7.50786232e+02, 1.12238923e+02, 0.6002108 ,  2.71421863e-01,  7.21891633e-01, 25, 0.,   352.,  1.48076882, -0.42621815)
 ( 53, 6.81269317e+02, 1.16914295e+02, 0.97136383, -3.66654340e-01, -1.60747041e-01, 25, 0.,   686.,  1.87812045, -0.6843086 )
 ( 54, 8.77563851e+01, 1.18785971e+02, 0.78694907,  3.70123468e-01, -9.04530041e-03, 25, 0.,   662.,  2.06871352, -0.78925088)
 ( 55, 2.39856480e+02, 1.19807070e+02, 0.46069583, -6.78258779e-01,  3.85329350e-01, 25, 0.,   228.,  1.01110285, -0.01198833)
 ( 56, 5.69935711e+02, 1.18903512e+02, 0.92887367, -7.98493250e-02, -9.77603403e-02, 25, 0.,   651.,  1.72178314, -0.58994613)
 ( 57, 4.10662265e+01, 1.22016144e+02, 0.95661032,  2.76309373e-02, -1.70345582e-01, 25, 0.,   801.,  2.07443705, -0.79225065)
 ( 58, 2.50072150e+02, 1.22113821e+02, 0.70304845,  2.50438042e-02,  7.73420968e-02, 25, 0.,   542.,  1.94729441, -0.72357904)
 ( 59, 2.65447451e+02, 1.22904838e+02, 0.87586507,  1.00742012e-01,  1.73081806e-02, 25, 0.,   504.,  1.45622835, -0.40807371)
 ( 60, 1.99390115e+02, 1.30789722e+02, 0.71957567,  2.74709563e-01,  4.94398993e-02, 25, 0.,  1371.,  4.30854421, -1.58582638)
 ( 61, 5.95512826e+02, 1.31000427e+02, 0.75834717, -1.21372521e-01, -1.60519190e-01, 25, 0., 19733., 61.9711385 , -4.48047369)
 ( 62, 4.36261498e+02, 1.31833032e+02, 0.96398517, -1.83026599e-01, -2.04587378e-02, 25, 0.,   871.,  2.32498884, -0.91605218)
 ( 63, 8.80417813e+01, 1.39967662e+02, 0.72586714, -2.69241540e-01,  1.88727732e-02, 25, 0.,   277.,  1.1291844 , -0.13191218)
 ( 64, 5.50468648e+02, 1.43082808e+02, 0.7790026 , -8.83322204e-03, -5.37342023e-02, 25, 0.,  2889.,  8.71864661, -2.35112269)
 ( 65, 4.74709769e+02, 1.47638438e+02, 0.69762237,  3.38369852e-01,  8.07164202e-02, 25, 0.,  2036.,  6.63604801, -2.0547738 )
 ( 66, 3.53440342e+02, 1.49300215e+02, 0.85112665, -2.37736089e-01,  1.22821605e-02, 25, 0.,   349.,  1.07295503, -0.0764538 )
 ( 67, 4.55920836e+02, 1.49885179e+02, 0.89047731, -1.22964682e-01,  3.29159884e-02, 25, 0.,   952.,  2.78938775, -1.11377223)
 ( 68, 5.25354992e+02, 1.50099810e+02, 0.58094707, -1.41757496e-01, -4.08214679e-01, 25, 0.,   422.,  1.49457566, -0.43629476)
 ( 69, 3.14077514e+02, 1.53344007e+02, 0.74123168,  4.23788035e-01,  3.15081086e-01, 25, 0.,   473.,  1.45297416, -0.40564473)
 ( 70, 5.19952688e+02, 1.52752245e+02, 0.94483109,  4.35599895e-01,  9.16056754e-02, 25, 0.,   399.,  1.03220423, -0.03441408)
 ( 71, 3.55525389e+02, 1.54764189e+02, 0.85046051, -4.33009561e-01, -1.40997845e-01, 25, 0.,  1525.,  4.33134592, -1.59155717)
 ( 72, 1.06860661e+02, 1.56987734e+02, 0.57608991,  3.76864240e-01, -6.08915140e-02, 25, 0.,   225.,  1.09650192, -0.10002349)
 ( 73, 7.20141784e+01, 1.67389004e+02, 0.99670208,  5.75703829e-03,  2.99362231e-01, 25, 0.,   472.,  1.27414123, -0.26304393)
 ( 74, 6.49048955e+02, 1.67304015e+02, 0.91552804,  4.31844256e-01,  2.05112285e-01, 25, 0.,   425.,  1.07500402, -0.07852522)
 ( 75, 6.76060925e+02, 1.69001333e+02, 0.9444568 ,  6.22276192e-03,  5.95236106e-03, 25, 0.,  6236., 17.10102233, -3.08255519)
 ( 76, 2.43769270e+02, 1.71904258e+02, 0.85352954, -3.38147665e-01,  2.09149153e-02, 25, 0.,   332.,  1.07147432, -0.07495442)
 ( 77, 5.61064119e+02, 1.73504453e+02, 0.95541948, -2.38010830e-02,  3.64555730e-01, 25, 0.,  1160.,  3.594413  , -1.38906994)
 ( 78, 7.50736820e+02, 1.75711296e+02, 0.84885898,  8.04850235e-01,  7.86415228e-01, 25, 0.,   653.,  1.91133261, -0.70334067)
 ( 79, 3.02569908e+01, 1.77100579e+02, 0.83395242,  1.44841299e-01, -1.58396945e-01, 25, 0.,  2623.,  7.33406942, -2.16336254)
 ( 80, 3.25184240e+02, 1.80031541e+02, 0.80523053, -1.54801409e-01, -2.18887333e-03, 25, 0.,   946.,  2.95541305, -1.17654547)
 ( 81, 6.86061286e+02, 1.82855534e+02, 0.87180281, -2.82530073e-01, -1.64933721e-01, 25, 0.,   391.,  1.25134116, -0.24343932)
 ( 82, 2.20045401e+02, 1.83280291e+02, 0.63850789,  5.76493889e-02,  3.29351616e-01, 25, 0.,   385.,  1.35325405, -0.32844834)
 ( 83, 4.21016915e+02, 1.85195497e+02, 0.82125634,  1.60605033e-01,  1.18132148e-01, 25, 0.,  5339., 16.21301416, -3.02465941)
 ( 84, 5.34379001e+02, 1.85233917e+02, 0.6920349 ,  1.37355161e-01,  2.85777892e-01, 25, 0.,   338.,  1.0275079 , -0.02946292)
 ( 85, 7.32564166e+02, 1.86096937e+02, 0.75253197,  2.34901915e-02, -2.04619822e-01, 25, 0.,  1181.,  3.73490789, -1.43069974)
 ( 86, 5.74084006e+02, 1.86761904e+02, 0.86958387, -3.39213536e-02,  1.08137739e-01, 25, 0.,  9603., 28.09914866, -3.62173291)
 ( 87, 2.48211167e+02, 1.88025244e+02, 0.82772506,  6.13942478e-02, -4.39569854e-02, 25, 0., 19825., 59.92762817, -4.44406772)
 ( 88, 6.78073805e+02, 1.87919369e+02, 0.96447408,  1.08066035e-01,  5.09127224e-02, 25, 0.,  1718.,  4.69668056, -1.67947756)
 ( 89, 3.75777547e+02, 1.92630825e+02, 0.53674392,  6.76417215e-01,  5.34722522e-01, 25, 0.,   669.,  2.38265744, -0.94265402)
 ( 90, 4.71648194e+02, 1.92928756e+02, 0.75216732, -2.99950144e-01, -1.82048025e-01, 25, 0.,   472.,  1.51013477, -0.44753926)
 ( 91, 1.06018864e+02, 1.94560610e+02, 0.75518248,  1.39159602e-01,  2.67816220e-01, 25, 0.,   321.,  1.05541483, -0.05855798)
 ( 92, 1.61627317e+02, 1.94942166e+02, 0.77505004, -3.24187794e-01, -5.09763382e-01, 25, 0.,   321.,  1.09992507, -0.10340775)
 ( 93, 6.65701306e+02, 1.94714063e+02, 0.71585915,  3.86041710e-01, -3.15023225e-03, 25, 0.,  2399.,  7.44671707, -2.17991213)
 ( 94, 6.99494647e+00, 1.97225743e+02, 0.72528417,  5.93412084e-01,  1.46397396e-01, 25, 0.,   455.,  1.31602442, -0.29815987)
 ( 95, 2.36952388e+02, 1.97625579e+02, 0.5516287 , -3.85516378e-01, -3.59696486e-01, 25, 0.,   274.,  1.00502213, -0.00543906)
 ( 96, 3.82837045e+02, 2.03139154e+02, 0.94832188,  1.11413061e-01, -2.45521934e-01, 25, 0.,   378.,  1.06333161, -0.06667181)
 ( 97, 5.51978752e+02, 2.06725071e+02, 0.8058446 ,  2.55906332e-01,  1.97737616e-01, 25, 0.,  1236.,  3.65450812, -1.40707233)
 ( 98, 3.15545598e+02, 2.08141557e+02, 0.70158985, -1.34049332e-01, -5.69050396e-02, 25, 0.,   322.,  1.00489659, -0.00530343)
 ( 99, 3.34706206e+02, 2.08153546e+02, 0.7751191 , -2.62898077e-01, -6.64606545e-02, 25, 0.,   376.,  1.13306267, -0.13563483)
 (100, 4.00132044e+02, 2.08660774e+02, 0.61026049,  3.64962921e-02,  2.89378559e-01, 25, 0.,   363.,  1.27675875, -0.2652721 )
 (101, 3.26325522e+02, 2.13930989e+02, 0.86964501, -2.80113688e-01,  1.87598457e-01, 25, 0.,   946.,  2.64824138, -1.05739392)
 (102, 7.20879518e+02, 2.15085332e+02, 0.83057854, -2.89980460e-02, -1.91529978e-02, 25, 0.,  2597.,  7.55850471, -2.19608972)
 (103, 6.09621700e+02, 2.15882451e+02, 0.68145446,  1.52168764e-01,  9.66548788e-02, 25, 0.,   296.,  1.02455938, -0.02634283)
 (104, 4.56099157e+02, 2.18001638e+02, 0.9206456 ,  3.99678042e-02,  2.55944696e-02, 25, 0., 24369., 69.90772071, -4.61131286)
 (105, 4.31738712e+01, 2.18644126e+02, 0.87892863, -7.12566022e-02, -5.32372934e-02, 25, 0.,   737.,  1.97095951, -0.73669426)
 (106, 2.78039310e+02, 2.21101254e+02, 0.84635349,  1.13883544e-01,  6.12963886e-02, 25, 0.,  2631.,  8.06024436, -2.26587052)
 (107, 2.84117447e+02, 2.21060738e+02, 0.86768786,  3.60583534e-01,  6.12154238e-02, 25, 0.,  1250.,  3.6173181 , -1.39596675)
 (108, 2.86092062e+01, 2.22174498e+02, 0.78180966, -1.78696355e-02, -1.51145818e-01, 25, 0.,   636.,  1.89839133, -0.69596435)
 (109, 7.72892045e+01, 2.24529335e+02, 0.92370498,  3.31607349e-01,  1.56719108e-01, 25, 0.,   651.,  1.63152809, -0.53148639)
 (110, 9.66617237e+01, 2.26104699e+02, 0.78069282, -5.85601188e-01, -7.15012584e-01, 25, 0.,  1146.,  2.99947967, -1.19261481)
 (111, 4.46012532e+02, 2.27957506e+02, 0.89519417,  7.94551026e-02,  4.40039396e-02, 25, 0.,  3325.,  9.85985531, -2.48467635)
 (112, 5.35844260e+02, 2.28023176e+02, 0.83994868, -2.45372771e-01, -1.36489798e-03, 25, 0.,   807.,  2.37476406, -0.93905117)
 (113, 2.56626071e+02, 2.33767340e+02, 0.78482948, -1.23183926e-01,  8.07534046e-02, 25, 0.,  1006.,  2.7659573 , -1.10461368)
 (114, 1.65007731e+02, 2.37941414e+02, 0.85500853,  2.15460536e-01,  1.83511907e-01, 25, 0.,   857.,  2.50049635, -0.99506556)
 (115, 2.63571441e+02, 2.38005507e+02, 0.68780731, -1.07637505e-01, -2.22163631e-01, 25, 0.,  7208., 24.02406977, -3.45161645)
 (116, 1.37833166e+02, 2.39305451e+02, 0.77226742,  7.32775285e-02,  6.07090869e-02, 25, 0.,  6476., 19.82505791, -3.24303616)
 (117, 6.37890055e+02, 2.41143149e+02, 0.73688491,  1.16600514e-01, -1.43215517e-04, 25, 0.,   309.,  1.10837695, -0.11171872)
 (118, 5.92150678e+02, 2.45972964e+02, 0.82167703,  2.23309951e-01, -2.37622189e-02, 25, 0.,   626.,  1.96816308, -0.7351527 )
 (119, 3.95141629e+00, 2.48378315e+02, 0.78035938,  4.13384424e-01,  1.70858756e-01, 25, 0.,   740.,  2.14681768, -0.82948791)
 (120, 1.83424238e+02, 2.48119735e+02, 0.82616406,  4.59572045e-01, -1.55470850e-01, 25, 0.,   291.,  1.0131008 , -0.01413165)
 (121, 5.61524827e+02, 2.48103453e+02, 0.74849464,  8.08099741e-02, -1.27264933e-01, 25, 0.,   313.,  1.01883752, -0.02026233)
 (122, 6.48772122e+01, 2.48743635e+02, 0.59666564,  6.78989282e-01, -1.34865275e-01, 25, 0.,   308.,  1.1199288 , -0.12297604)
 (123, 8.08511768e+01, 2.49310733e+02, 0.776636  , -1.69698722e-02,  4.35756464e-02, 25, 0.,  1034.,  3.17186225, -1.2532858 )
 (124, 5.45772611e+02, 2.51146334e+02, 0.79163632, -5.62671037e-02, -3.96139760e-02, 25, 0.,  1366.,  4.15310908, -1.54593335)
 (125, 2.07920143e+02, 2.56970581e+02, 0.90711952,  1.29708245e-01,  7.85748537e-02, 25, 0.,  1673.,  4.72152665, -1.68520611)
 (126, 6.94994147e+02, 2.58760733e+02, 0.94174512,  4.10265652e-01,  9.65398582e-02, 25, 0.,   536.,  1.37026811, -0.34201387)
 (127, 2.95677180e+02, 2.61222485e+02, 0.6714349 , -2.30066778e-01, -9.51394122e-02, 25, 0.,  1646.,  5.39499693, -1.829978  )
 (128, 2.18248151e+02, 2.62267249e+02, 0.72214877,  1.64714598e-01, -3.91446998e-03, 25, 0.,   752.,  2.37847369, -0.94074588)
 (129, 6.79334390e+02, 2.64020843e+02, 0.79414348, -3.94141165e-02, -6.77851273e-02, 25, 0.,  1148.,  3.58720335, -1.38688999)
 (130, 7.14045147e+01, 2.64599312e+02, 0.74439961,  4.95596622e-01, -2.68789298e-01, 25, 0.,   698.,  2.05312216, -0.78103697)
 (131, 5.93381887e+02, 2.65005853e+02, 0.87098074, -3.50737850e-01, -2.75857132e-01, 25, 0.,   637.,  1.76620725, -0.61760416)
 (132, 3.63021822e+02, 2.66273408e+02, 0.82680009,  1.06842030e-01, -3.96702463e-02, 25, 0.,   849.,  2.60456576, -1.03933832)
 (133, 6.55969216e+02, 2.68015029e+02, 0.85315057, -8.19359897e-02, -3.69029068e-02, 25, 0.,  2651.,  8.05703592, -2.26543825)
 (134, 3.51744633e+02, 2.71337139e+02, 0.71809213, -3.36722135e-01, -1.10352292e-02, 25, 0.,   618.,  1.99655309, -0.75070216)
 (135, 4.15293544e+02, 2.70994966e+02, 0.88036751, -3.58125114e-02,  1.07125448e-02, 25, 0.,   843.,  2.52073528, -1.0038181 )
 (136, 5.13953533e+02, 2.72656597e+02, 0.79960262, -1.70959731e-01,  1.72027713e-01, 25, 0.,   908.,  2.73359358, -1.09183486)
 (137, 7.00084168e+02, 2.76777225e+02, 0.76589067,  3.63869749e-02,  8.16965594e-02, 25, 0.,   909.,  3.00356338, -1.194092  )
 (138, 7.10885770e+02, 2.78009636e+02, 0.91775298,  1.18803514e-01, -3.24334859e-02, 25, 0.,   851.,  2.36935763, -0.93657655)
 (139, 4.38145216e+02, 2.81034060e+02, 0.91447263,  4.59805910e-02, -1.82596402e-02, 25, 0.,  7773., 22.574405  , -3.38404078)
 (140, 3.74830622e+01, 2.88064485e+02, 0.57235978, -3.35030647e-02, -6.88669234e-01, 25, 0.,   237.,  1.00719931, -0.00778855)
 (141, 7.32140583e+02, 2.92536181e+02, 0.7241471 ,  1.22189373e-01,  2.05023975e-01, 25, 0.,  4620., 14.44055484, -2.8989597 )
 (142, 3.50803107e+02, 2.93811198e+02, 0.80914209,  7.95979926e-02,  1.61611862e-02, 25, 0.,  1084.,  3.38361063, -1.32345095)
 (143, 6.06642943e+02, 2.94523486e+02, 0.58399336,  5.81447501e-01,  2.97132047e-02, 25, 0.,  9894., 33.16062929, -3.80155691)
 (144, 2.16368570e+02, 2.96321484e+02, 0.87286223, -5.12577861e-02,  2.80973427e-02, 25, 0.,   442.,  1.13116453, -0.13381445)
 (145, 5.47043300e+02, 2.96768933e+02, 0.73761205, -1.60229068e-01,  2.29976010e-01, 25, 0.,   520.,  1.72062076, -0.5892129 )
 (146, 3.22156098e+02, 3.00812667e+02, 0.88134666,  2.60365854e-01, -1.17283441e-01, 25, 0.,   519.,  1.65267435, -0.54546822)
 (147, 6.29077682e+02, 3.03705211e+02, 0.82032707,  7.90658348e-01,  6.77335583e-03, 25, 0.,   394.,  1.13214614, -0.13475623)
 (148, 2.28649834e+01, 3.07701420e+02, 0.65114343, -3.14477691e-01,  2.05466518e-02, 25, 0.,   491.,  1.65076915, -0.54421586)
 (149, 3.30993830e+02, 3.17599952e+02, 0.7162066 ,  3.94813993e-01,  2.81592748e-01, 25, 0.,   629.,  2.29690556, -0.90285785)
 (150, 1.91195187e+02, 3.19072578e+02, 0.75753255,  1.11373395e-01,  9.20714371e-02, 25, 0.,   368.,  1.27353436, -0.26252667)
 (151, 3.34937067e+02, 3.21852212e+02, 0.93644852, -2.78924668e-01,  3.92289213e-02, 25, 0.,   388.,  1.11386781, -0.11708413)
 (152, 2.22293617e+02, 3.25042977e+02, 0.90459971, -1.43783460e-01, -1.39834057e-01, 25, 0.,   452.,  1.33354449, -0.31251878)
 (153, 6.72422467e+02, 3.25177387e+02, 0.63916138,  2.13760231e-01, -1.07390884e-01, 25, 0.,   342.,  1.24576076, -0.23858662)
 (154, 4.14267086e+02, 3.26026629e+02, 0.91118161,  4.81341800e-02,  7.43682583e-03, 25, 0.,  4176., 12.07878267, -2.70505792)
 (155, 6.09913262e+02, 3.28221505e+02, 0.87518301,  1.12956820e-01, -9.75799882e-02, 25, 0.,   625.,  1.73369759, -0.59743336)
 (156, 6.02354966e+02, 3.28915005e+02, 0.85821661, -2.23727012e-01, -9.08328631e-02, 25, 0.,  1717.,  4.92838952, -1.73176256)
 (157, 1.64536670e+02, 3.29949030e+02, 0.6739503 , -1.17323903e-01, -1.52563243e-01, 25, 0.,  1589.,  5.37798149, -1.82654826)
 (158, 1.33010572e+02, 3.35120477e+02, 0.69575454, -1.03923442e-02,  3.98468592e-02, 25, 0.,   294.,  1.06622008, -0.06961714)
 (159, 4.44263111e+02, 3.34799080e+02, 0.84145643, -9.41544055e-02,  3.16299938e-02, 25, 0., 13451., 40.70914773, -4.02423003)
 (160, 5.06947500e+02, 3.35112990e+02, 0.88002223,  2.23423418e-01,  1.83952211e-02, 25, 0.,  1606.,  4.80358308, -1.70391327)
 (161, 5.70356788e+02, 3.36677639e+02, 0.65330289,  2.09734793e-02, -1.44020968e-03, 25, 0.,   416.,  1.51977153, -0.45444576)
 (162, 9.98817869e+01, 3.38101684e+02, 0.88223912, -6.43747300e-01, -2.48195948e-01, 25, 0.,   648.,  1.78866056, -0.63131983)
 (163, 5.65128269e+02, 3.37577668e+02, 0.83517887, -3.67369554e-01, -9.83015379e-02, 25, 0.,   678.,  1.85167708, -0.66891313)
 (164, 7.14595204e+02, 3.37739369e+02, 0.65711104,  2.44923744e-01, -1.33535886e-01, 25, 0.,  2039.,  6.5079064 , -2.03360324)
 (165, 3.11993898e+02, 3.40706781e+02, 0.6099724 ,  1.96674937e-01, -4.00137366e-01, 25, 0.,   310.,  1.26012342, -0.25103271)
 (166, 3.50351300e+02, 3.40958686e+02, 0.76326157,  2.43579446e-01, -4.33044445e-02, 25, 0.,   380.,  1.28360646, -0.27107974)
 (167, 6.65998298e+02, 3.41173802e+02, 0.90861953,  2.00810568e-01, -1.96827101e-02, 25, 0.,  1913.,  5.1586912 , -1.78134883)
